expert_run,expert_model,market_run,market_model,method,code_count,overlap_codes,best_weight_expert,best_val_rel_score,best_test_rel_score,stable_weight_tolerance,stable_weight_min,stable_weight_max,stable_weight_count,stable_weight_center,stable_test_rel_score_mean,stable_test_rel_score_median,stable_test_rel_score_min,stable_test_rel_score_max
overnight_fnb_w5_mag_base_20260409_101741,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_best_by_val,agree_only,4,"KDC,SAB,SBT,VNM",0.3,0.029100024243631784,0.04686069015705052,0.001,0.3,0.3,1,0.3,0.04686069015705052,0.04686069015705052,0.04686069015705052,0.04686069015705052
overnight_fnb_w5_mag_base_20260409_101741,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_ensemble,agree_only,4,"KDC,SAB,SBT,VNM",0.4,0.026918345997646753,0.046308157695568286,0.001,0.4,0.4,1,0.4,0.046308157695568286,0.046308157695568286,0.046308157695568286,0.046308157695568286
overnight_fnb_w5_mag_base_20260409_101741,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_signmag_best_by_val,avg,4,"KDC,SAB,SBT,VNM",0.8,0.02404429663927088,0.037939873863612306,0.001,0.8,0.85,2,0.825,0.03948898776488602,0.03948898776488602,0.037939873863612306,0.04103810166615973
overnight_fnb_w5_mag_base_20260409_101741,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_ensemble,avg,4,"KDC,SAB,SBT,VNM",0.9,0.023582957583272335,0.050549393682211785,0.001,0.9,0.95,2,0.925,0.05019248351936151,0.05019248351936151,0.04983557335651123,0.050549393682211785
overnight_fnb_w5_mag_base_20260409_101741,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_signmag_best_by_val,agree_only,4,"KDC,SAB,SBT,VNM",0.15,0.023285427132128556,0.04932071562386653,0.001,0.15,0.9,5,0.6900000000000001,0.05123425253802394,0.05163991406482915,0.04932071562386653,0.05193080487176571
overnight_fnb_w5_mag_base_20260409_101741,lstm_best_by_val,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_best_by_val,avg,4,"KDC,SAB,SBT,VNM",1.0,0.021012648466806727,0.05048465575862915,0.001,1.0,1.0,1,1.0,0.05048465575862915,0.05048465575862915,0.05048465575862915,0.05048465575862915
overnight_fnb_w5_mag_base_20260409_101741,lstm_ensemble,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_signmag_best_by_val,avg,4,"KDC,SAB,SBT,VNM",0.1,0.015013475937637355,0.015400345470171883,0.001,0.1,0.1,1,0.1,0.015400345470171883,0.015400345470171883,0.015400345470171883,0.015400345470171883
overnight_fnb_w5_mag_base_20260409_101741,lstm_ensemble,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_signmag_best_by_val,agree_only,4,"KDC,SAB,SBT,VNM",0.15,0.012510452019017015,0.024196743804223764,0.001,0.15,0.2,2,0.175,0.02467372431389936,0.02467372431389936,0.024196743804223764,0.025150704823574954
overnight_fnb_w5_mag_base_20260409_101741,lstm_ensemble,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_best_by_val,agree_only,4,"KDC,SAB,SBT,VNM",0.55,0.012399759311618408,0.03311656600433155,0.001,0.55,0.55,1,0.55,0.03311656600433155,0.03311656600433155,0.03311656600433155,0.03311656600433155
overnight_fnb_w5_mag_base_20260409_101741,lstm_ensemble,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_best_by_val,avg,4,"KDC,SAB,SBT,VNM",0.55,0.007723768900050998,0.009708753249943358,0.001,0.55,0.55,1,0.55,0.009708753249943358,0.009708753249943358,0.009708753249943358,0.009708753249943358
overnight_fnb_w5_mag_base_20260409_101741,lstm_ensemble,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_ensemble,avg,4,"KDC,SAB,SBT,VNM",0.85,0.007604200839520736,0.026995665270806768,0.001,0.85,0.85,1,0.85,0.026995665270806768,0.026995665270806768,0.026995665270806768,0.026995665270806768
overnight_fnb_w5_mag_base_20260409_101741,lstm_ensemble,confirm_vn100_fnb_committee_20260408_235445_r01,lstm_ensemble,agree_only,4,"KDC,SAB,SBT,VNM",0.85,0.006804426937886299,0.03017685031628825,0.001,0.85,1.0,2,0.925,0.02979395572514132,0.02979395572514132,0.029411061133994387,0.03017685031628825
