expert_run,expert_model,market_run,market_model,method,code_count,overlap_codes,best_weight_expert,best_val_rel_score,best_test_rel_score,stable_weight_tolerance,stable_weight_min,stable_weight_max,stable_weight_count,stable_weight_center,stable_test_rel_score_mean,stable_test_rel_score_median,stable_test_rel_score_min,stable_test_rel_score_max
overnight_fnb_w5_nomag_20260409_101741,lstm_best_by_val,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_top2_by_val,agree_only,4,"KDC,SAB,SBT,VNM",0.5,0.02774427897971654,0.010998946274617172,0.001,0.5,0.5,1,0.5,0.010998946274617172,0.010998946274617172,0.010998946274617172,0.010998946274617172
overnight_fnb_w5_nomag_20260409_101741,lstm_best_by_val,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_top2_by_val,avg,4,"KDC,SAB,SBT,VNM",0.5,0.027453364224453436,0.005175448188935339,0.001,0.5,0.5,1,0.5,0.005175448188935339,0.005175448188935339,0.005175448188935339,0.005175448188935339
overnight_fnb_w5_nomag_20260409_101741,lstm_best_by_val,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_best_by_val,agree_only,4,"KDC,SAB,SBT,VNM",0.15,0.025722516730485423,0.01212384038810077,0.001,0.1,0.25,4,0.175,0.012026308340139236,0.012145368591729766,0.01102921602473994,0.01278528015235747
overnight_fnb_w5_nomag_20260409_101741,lstm_best_by_val,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_best_by_val,avg,4,"KDC,SAB,SBT,VNM",0.2,0.024876767455873083,0.005578272753096192,0.001,0.15,0.2,2,0.175,0.004988483103270103,0.004988483103270103,0.004398693453444014,0.005578272753096192
overnight_fnb_w5_nomag_20260409_101741,lstm_best_by_val,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_ensemble,agree_only,4,"KDC,SAB,SBT,VNM",0.75,0.02372617171439728,0.004257326243537252,0.001,0.7,0.75,2,0.725,0.004513345509136402,0.004513345509136402,0.004257326243537252,0.004769364774735552
overnight_fnb_w5_nomag_20260409_101741,lstm_best_by_val,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_ensemble,avg,4,"KDC,SAB,SBT,VNM",0.75,0.023644818985892324,0.00463786867663829,0.001,0.7,0.75,2,0.725,0.0054412333552325,0.0054412333552325,0.00463786867663829,0.006244598033826709
overnight_fnb_w5_nomag_20260409_101741,lstm_ensemble,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_best_by_val,avg,4,"KDC,SAB,SBT,VNM",0.55,0.02086234719678204,0.008811878497261172,0.001,0.25,0.6,5,0.47000000000000003,0.007874518007195564,0.00858140046937328,0.005418210939970081,0.008811878497261172
overnight_fnb_w5_nomag_20260409_101741,lstm_ensemble,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_top2_by_val,avg,4,"KDC,SAB,SBT,VNM",0.55,0.01611048073316812,0.010641667215884998,0.001,0.5,0.8,7,0.65,0.010589477983107403,0.010446540976975838,0.01022810063996571,0.011460827076190117
overnight_fnb_w5_nomag_20260409_101741,lstm_ensemble,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_top2_by_val,agree_only,4,"KDC,SAB,SBT,VNM",0.75,0.0156078916378517,0.01257787654652498,0.001,0.35,0.8,10,0.575,0.01302895820585146,0.012965271302361525,0.012503319333597052,0.01366348517296978
overnight_fnb_w5_nomag_20260409_101741,lstm_ensemble,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_best_by_val,agree_only,4,"KDC,SAB,SBT,VNM",0.8,0.015061350123626416,0.010226106761089482,0.001,0.8,0.8,1,0.8,0.010226106761089482,0.010226106761089482,0.010226106761089482,0.010226106761089482
overnight_fnb_w5_nomag_20260409_101741,lstm_ensemble,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_ensemble,agree_only,4,"KDC,SAB,SBT,VNM",0.95,0.01371870691985877,0.009207882173715043,0.001,0.9,1.0,3,0.9500000000000001,0.008936497951464192,0.008809326742879042,0.008792284937798489,0.009207882173715043
overnight_fnb_w5_nomag_20260409_101741,lstm_ensemble,overnight_fnb_w5_nomag_20260409_101741,lstm_signmag_ensemble,avg,4,"KDC,SAB,SBT,VNM",0.95,0.01371870691985877,0.009207882173715043,0.001,0.95,1.0,2,0.975,0.009008604458297043,0.009008604458297043,0.008809326742879042,0.009207882173715043
