n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model,fold_id,test_start,test_end,alpha_rel_score,alpha_absE_robust,selected_from_train
1908,0.011632023075841547,0.04542687086504884,0.045961496047675604,0.06026537010911852,0.47379454926624737,0.06693398377051413,VN,ensemble_mean_raw,0,2020-04-01,2020-05-04,0.027934757135296362,0.03487407856155186,
1922,0.006754866330011544,0.03261482388770674,0.03283663094043732,0.041101448918925615,0.5338189386056191,0.051968917378219445,VN,ensemble_mean_raw,1,2020-05-05,2020-06-02,-0.005217182137434495,0.02885869580204599,
1916,-0.0007721405830871664,0.03687894529866753,0.03685049153864384,0.048301053102477454,0.4744258872651357,0.06321139624977734,VN,ensemble_mean_raw,2,2020-06-03,2020-07-01,0.009914622857587596,0.027159290650160983,
1905,0.014533621613336711,0.03336499947763516,0.03385706525295973,0.045572218904271766,0.420997375328084,0.05931304727908042,VN,ensemble_mean_raw,3,2020-07-02,2020-07-30,0.01284726883688525,0.021590657409979033,
1910,-0.006553833980737389,0.024802110192104012,0.024640619661659004,0.030751785426400606,0.42984293193717277,0.07431219753744923,VN,ensemble_mean_raw,4,2020-07-31,2020-08-28,-0.0012761053688450374,0.021060225839028137,
1925,0.001592534638739207,0.021450503499363553,0.021484718658030033,0.027227998018497606,0.4820779220779221,0.07238854839506215,VN,ensemble_mean_raw,5,2020-08-31,2020-09-29,-0.0024196889771206376,0.020441795198712497,
1927,-0.013908848066825463,0.024976641996181572,0.024634011276066303,0.031549625232582916,0.45303580695381424,0.06293861934751496,VN,ensemble_mean_raw,6,2020-09-30,2020-10-28,0.001677732856626979,0.022801282402360817,
1906,0.0024415482158242074,0.025077469821553677,0.025138847529888153,0.032310467096976936,0.4769150052465897,0.05120340943102928,VN,ensemble_mean_raw,7,2020-10-29,2020-11-26,-0.0013498250245851384,0.023706442152615637,
1914,0.016326275842308613,0.031152388501504903,0.03166943239048124,0.04004005250753835,0.5292580982236155,0.048676781157425686,VN,ensemble_mean_raw,8,2020-11-27,2020-12-25,-0.005348596356663737,0.029017383871541826,
1920,-0.012998718686004107,0.0432797272806056,0.0427243652753532,0.05915098375407982,0.5151041666666667,0.046155372504236236,VN,ensemble_mean_raw,9,2020-12-28,2021-01-26,0.003255067246615284,0.031819712719880044,
1921,0.034699325619525045,0.0488078310736455,0.050562309101223946,0.06485810794401914,0.4737116085372202,0.06603258808024369,VN,ensemble_mean_raw,10,2021-01-27,2021-03-03,-0.004696344438548605,0.028944489546120167,
1930,-0.012975655510597539,0.025849316775111222,0.025518201384693386,0.03223759185548261,0.42487046632124353,0.07122699025982154,VN,ensemble_mean_raw,11,2021-03-04,2021-04-01,0.01398400433013225,0.021584922930924223,
1929,0.0035848532664977117,0.031178832467412577,0.03129100613296032,0.03857403959846124,0.45619491964748576,0.059593282440558705,VN,ensemble_mean_raw,12,2021-04-02,2021-05-05,-0.0017970640268014648,0.025580955321493095,
1926,0.005634097450664233,0.03372415808553342,0.0339152398519218,0.04142199194757268,0.5103842159916926,0.0468169798415316,VN,ensemble_mean_raw,13,2021-05-06,2021-06-03,0.0059994658553917946,0.03206743180635385,
1928,-0.001275899383552881,0.03178767962381243,0.03174717342481017,0.040324701415374864,0.4828838174273859,0.058497486340914714,VN,ensemble_mean_raw,14,2021-06-04,2021-07-02,0.004813162570216578,0.028972867055563255,
1929,-0.006821039937803253,0.04274980453337776,0.04246018193662167,0.05487078316509724,0.4494556765163297,0.06417693883990723,VN,ensemble_mean_raw,15,2021-07-05,2021-08-02,0.008923200708603307,0.03188985964516178,
1939,-4.686712860868525e-05,0.033221016367315316,0.03321945946663618,0.043188242428004744,0.4363073749355338,0.05031022259689309,VN,ensemble_mean_raw,16,2021-08-03,2021-08-31,-0.0028118954950737685,0.02957872071565362,
1945,0.008497051568284952,0.02944546222643113,0.029697806015610697,0.03597116110759091,0.4961439588688946,0.050678217728425866,VN,ensemble_mean_raw,17,2021-09-01,2021-10-01,0.011633727524003712,0.02649478609964718,
1946,0.01024588416689487,0.02571933193030418,0.025985577143728733,0.033028150646714494,0.45580678314491263,0.053540715445581324,VN,ensemble_mean_raw,18,2021-10-04,2021-11-01,0.0050948004267794555,0.02497147349640727,
1949,0.01964618271463192,0.04050209993147291,0.04131375756114722,0.0520454496727325,0.48589020010261674,0.04300024342027699,VN,ensemble_mean_raw,19,2021-11-02,2021-11-30,0.008002508554331489,0.039253758348058915,
1951,0.010070750224458691,0.035438709950540215,0.035799235105514526,0.04520853399299085,0.48744233726294206,0.057975018325429464,VN,ensemble_mean_raw,20,2021-12-01,2021-12-29,0.016457828394805696,0.031291236518882215,
1931,0.03367117934262054,0.04827094858046621,0.04995292238891125,0.06420623138546944,0.4940445365095805,0.0520366304951976,VN,ensemble_mean_raw,21,2021-12-30,2022-01-28,0.00863452993915792,0.03839433744724374,
1945,-0.011150103093362063,0.031615529500413686,0.03126690033823252,0.039474686025641866,0.4488431876606684,0.06810908792048921,VN,ensemble_mean_raw,22,2022-02-07,2022-03-07,-0.015185525051216509,0.028338714444544166,
