features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"atr_gap,ma_20_gap",2,0.0027654845064692957,0.04668925998828022,-0.004345205887933412,0.0005507018067874014,0.00023904153204057366,0.0007064787787385285,0.01703655533492565,0.010450857691466808,0.019254319369792938,0.032996734176413176,0.01863052190165036,0.03716288768628147
"lower_shadow,rolling_max_20_gap",2,-0.008911155170727048,0.0460762778001641,0.01212813640768251,0.0005525849992409348,0.00023605382011737674,0.000709438172634691,0.016954688355326653,0.010426780208945274,0.019397450610995293,0.03338309362297879,0.01864250139333308,0.036553339329839216
"gap_open,lower_shadow",2,0.0018695981088638902,0.03872285136489151,0.02492716051463284,0.0005534088704735041,0.00022957522014621645,0.0007057915208861232,0.0170731358230114,0.010292137041687965,0.019050005823373795,0.033118240756448356,0.018786209175596015,0.0360797484841896
"rolling_max_20_gap,obv_change",2,0.000147450542725025,0.03808729338132599,0.008453648679188852,0.000550112861674279,0.00023475545458495617,0.0007020087214186788,0.01693101041018963,0.0103607764467597,0.01914101652801037,0.03308336031041109,0.018798629865341355,0.036689303113962526
"intraday_return,rolling_max_20_gap",2,-0.0069386613665540775,0.037868717277252495,0.02159117570686575,0.0005501860869117081,0.00023932702606543899,0.0007157613290473819,0.016979850828647614,0.010586039163172245,0.019289927557110786,0.033317827276187026,0.01880290149128996,0.03620318694738671
"rolling_max_20_gap,vwap_gap",2,-0.0018233351125669373,0.03646287059745068,0.01860790303424642,0.0005565289175137877,0.00023402326041832566,0.0006733735790476203,0.017007287591695786,0.01033446192741394,0.018670586869120598,0.03314857013756411,0.018830375908873976,0.034541988192358986
rolling_max_20_gap,1,-0.0018232872632883979,0.036462849152645416,0.0058979072370537455,0.0005565289175137877,0.0002340232749702409,0.0007010190165601671,0.017007287591695786,0.010334462858736515,0.019108569249510765,0.033148568554315735,0.018830376327969134,0.036783870929502874
"close_position,lower_shadow",2,-0.006728894202579605,0.03559816213586253,-0.0005958267038961296,0.0005517785320989788,0.0002364595275139436,0.0007069781422615051,0.017010154202580452,0.010460239835083485,0.019291376695036888,0.033321256094495766,0.01884727487922646,0.0364619237720035
"atr_gap,macd_hist",2,-0.002685796212529734,0.034291250469855705,-0.004514850817555649,0.0005539341946132481,0.00023630866780877113,0.00071262865094468,0.01705041527748108,0.010352496057748795,0.019259892404079437,0.03324989174725487,0.01887281581293792,0.03716916490593576
"volatility_20,ma_20_gap",2,0.004174195425884708,0.032646448196012146,-0.022967688876136316,0.0005492745549418032,0.00023984312429092824,0.0007181866676546633,0.017047936096787453,0.01052975282073021,0.019557040184736252,0.032923211122397336,0.018904960132204007,0.037851958774263034
"momentum_5,volatility_20",2,-0.0014604700252844882,0.028775827325340897,-0.012993042834899216,0.0005495268851518631,0.00023849854187574238,0.0007090267608873546,0.017044946551322937,0.010523692704737186,0.01931047812104225,0.03310950000886806,0.018980603554518895,0.0374828758649528
"volatility_20,rolling_max_20_gap",2,-0.008880924366445164,0.027642857900744056,-0.0012493311628241077,0.0005512505886144936,0.0002389514702372253,0.0007103015668690205,0.017007984220981598,0.010429744608700275,0.019297700375318527,0.03335482924594544,0.01900274514046032,0.03704833380179479
"momentum_5,rolling_max_20_gap",2,0.003668917325039489,0.026502953985599986,0.005300548540177585,0.0005461052060127258,0.00024698645574972034,0.0007143812836147845,0.01698695495724678,0.010917927138507366,0.01940019056200981,0.03296684117522092,0.01902502224693308,0.036805974459275595
"lower_shadow,ma_20_gap",2,-0.007187490721286327,0.025802993826355092,0.0029398361826855623,0.0005511495983228087,0.00023616355611011386,0.0007130185840651393,0.017006782814860344,0.010506180115044117,0.01954425498843193,0.0333260606013937,0.019038701546378437,0.03689332578796893
"lower_shadow,macd_signal",2,-0.005622624769709983,0.024347970112522765,-0.0023710652986037584,0.000555328035261482,0.00023618947307113558,0.0007155806524679065,0.017032882198691368,0.010464011691510677,0.019447579979896545,0.03337474260479212,0.0190671370291966,0.0370898403270985
"ma_20_gap,obv_change",2,0.005289824085237149,0.022825598242875667,-0.017540906116532584,0.0005488625611178577,0.0002357145567657426,0.0007068909471854568,0.016982560977339745,0.01046100165694952,0.01936166360974312,0.032913208224636045,0.019096888694912197,0.037651156383799386
"atr_gap,macd",2,-0.0005645197228956178,0.022387011243220623,-0.001853647167008532,0.0005539142293855548,0.0002362486266065389,0.0007103924290277064,0.017041420564055443,0.010346608236432076,0.019216177985072136,0.033179548461339435,0.019105459986894863,0.03707069476658943
"lower_shadow,obv_change",2,-0.0016850805569168514,0.020798652888437963,0.0329684971032872,0.0005551873473450541,0.00023240805603563786,0.0006970579270273447,0.016981111839413643,0.010346249677240849,0.019007353112101555,0.03322830909746699,0.019136501224420503,0.03578220209601568
"ma_20_gap,vwap_gap",2,0.002500051627964295,0.020410263859363287,-0.006540148333997742,0.0005549911293201149,0.00023498399241361767,0.00067803735146299,0.017058633267879486,0.010426681488752365,0.018895506858825684,0.033005516882985836,0.019144091499038042,0.03542712237685919
ma_20_gap,1,0.0024999812613780703,0.020410197291113263,-0.028267936051503018,0.0005549911293201149,0.0002349840069655329,0.000706275983247906,0.017058633267879486,0.010426681488752365,0.019339950755238533,0.03300551921129227,0.019144092799979265,0.03804807908163638
"rolling_max_20_gap,macd",2,0.00012057455285918728,0.019363515508511564,-0.005258514303823736,0.0005481521948240697,0.00023920413514133543,0.0007258993573486805,0.01695067808032036,0.010643819347023964,0.019317781552672386,0.03308424958959222,0.019164548069238667,0.037196682021021846
"momentum_20,ma_20_gap",2,-0.008232903772781075,0.019254665101764656,-0.04312244395919862,0.0005482842680066824,0.0002395633200649172,0.0007076686015352607,0.01695641130208969,0.01062137819826603,0.019304515793919563,0.03333340489771218,0.01916667532932479,0.03859772715659346
