features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"momentum_5,obv_change",2,-0.011870342959083624,0.05131303048997171,-0.004963186031598843,0.0005179951549507678,0.0003523131017573178,0.000650100817438215,0.016067808493971825,0.012290487065911293,0.01759132742881775,0.030753263097722083,0.020448110200231896,0.03585701199481263
"momentum_5,vwap_gap",2,-0.005484999849522998,0.04946207448179163,-0.05990684458432005,0.0005216249846853316,0.0003523994528222829,0.0005759985651820898,0.01613842137157917,0.012314008548855782,0.01650308445096016,0.030617611436173323,0.020488005923107268,0.03186543600168079
momentum_5,1,-0.010891882177093803,0.04815026825262658,-0.0034011811851981655,0.0005197265418246388,0.00035251444205641747,0.0006503832410089672,0.01608886569738388,0.01229337602853775,0.01759031042456627,0.030723525234498086,0.020516280748415737,0.03580127977766096
"intraday_return,momentum_5",2,-0.03150525757096623,0.04773034117892638,0.0197566952502628,0.0005117467371746898,0.0003504886699374765,0.0006494851550087333,0.016000894829630852,0.012362506240606308,0.017653683200478554,0.031350017117802054,0.02052533190581017,0.03497500846278853
"gap_open,momentum_5",2,-0.022471570577778266,0.04680054596360861,0.017649276310086948,0.000513126258738339,0.00035300696617923677,0.0006469341460615396,0.0160740427672863,0.012362577952444553,0.017635975033044815,0.031075460842112084,0.02054537282092497,0.03505020101438276
"intraday_return,momentum_20",2,-0.014695986502106795,0.033017952886257196,0.008271448477184307,0.0005160088767297566,0.0003518695302773267,0.0006614975864067674,0.01599898189306259,0.012289692647755146,0.01772197335958481,0.030862743058241902,0.020842444448499017,0.0353848012164235
"intraday_return,vwap_gap",2,-0.016255877770271487,0.028943483080898336,-0.06601156809424724,0.0005233489791862667,0.00035199554986320436,0.0005794467870146036,0.016086656600236893,0.012355630286037922,0.016325106844305992,0.03094559102319181,0.020930266048526394,0.03204897069372237
"intraday_return,upper_shadow",2,-0.02006715405569648,0.02640558400201265,-0.0849417853141603,0.000516811793204397,0.00035835267044603825,0.0006650642608292401,0.016078203916549683,0.012590672820806503,0.01774665340781212,0.03100238462793641,0.020984968222910558,0.038710642489604645
"momentum_5,ma_20_gap",2,-0.009895127512952406,0.023520321240850683,-0.00873606207812494,0.0005156942643225193,0.0003503889893181622,0.0006514084525406361,0.016059208661317825,0.012283696793019772,0.017628788948059082,0.03069589131046087,0.02104715751484037,0.035991627932526166
"intraday_return,obv_change",2,-0.007632231622449304,0.016441146685523433,-0.012599439153144765,0.000519966590218246,0.000352299161022529,0.0006605256930924952,0.016032196581363678,0.01237933523952961,0.01748131588101387,0.03062445632531308,0.02119974287343212,0.03612947294022888
