sector,stock,best_features,best_val_rel_score,best_test_rel_score,good_combinations
Bất động sản,VHM,"gap_open,upper_shadow",0.052363384047669825,0.09922041336405962,10
Hóa chất,DGC,"gap_open,momentum_5,momentum_20",0.06784131697784102,0.028284099560082154,10
Bảo hiểm,BVH,"intraday_return,lower_shadow,rolling_max_20_gap",0.060492234119964294,0.0198315846427376,10
Dầu khí,PVD,vwap_gap,0.02386592062837234,0.0025394476053618442,0
Y tế,IMP,"volume_zscore_20,close_position,ma_20_gap",0.0838057523517639,-0.002008929337360854,10
Hàng & Dịch vụ Công nghiệp,GMD,"momentum_5,volatility_20,rolling_max_20_gap",0.03220179812945756,-0.012955639683680076,2
Ngân hàng,VCB,"intraday_return,close_position,lower_shadow",0.09303467234359275,-0.029340281254200073,10
Xây dựng và Vật liệu,CTD,"volume_zscore_20,upper_shadow,volatility_20",0.058916414837789755,-0.03613384044028756,10
Tài nguyên Cơ bản,HPG,"upper_shadow,ma_20_gap,rolling_max_20_gap",0.054607764158017824,-0.03651468558100501,10
Thực phẩm và đồ uống,VNM,"lower_shadow,volatility_20,ma_20_gap",0.04805757858981219,-0.03687477231987679,9
Bán lẻ,MWG,"volume_zscore_20,lower_shadow,volatility_20",0.04912698180537067,-0.045540760665523594,10
"Điện, nước & xăng dầu khí đốt",GAS,"close_position,atr_gap,vwap_gap",0.01924123371255071,-0.05122293288133872,0
Hàng cá nhân & Gia dụng,PNJ,"volume_zscore_20,intraday_return,upper_shadow",0.049646210265695045,-0.06975565275438611,6
Dịch vụ tài chính,SSI,"upper_shadow,momentum_20,volatility_20",0.028448987113242286,-0.07825964135607943,0
Du lịch và Giải trí,VJC,"gap_open,upper_shadow",0.061580856331581946,-0.07868700338651435,10
Công nghệ Thông tin,FPT,"volume_zscore_20,gap_open,ma_20_gap",0.08519558371218117,-0.10263973313969244,10
