features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"gap_open,momentum_20,bb_width",3,-0.017530497006844614,0.05165326890640576,0.032489733348157745,0.0029288851656019688,0.0012802102137356997,0.0023654107935726643,0.03962303698062897,0.026763424277305603,0.036872971802949905,0.07331282552331686,0.044551723834592855,0.06817935159197082
"gap_open,ma_200_gap,bb_width",3,-0.013333011624142577,0.03368851247932925,0.025472551386090725,0.0028920634649693966,0.0012940411688759923,0.0024114949628710747,0.03911890834569931,0.026897592470049858,0.03718959167599678,0.07218704901169987,0.04539567767642441,0.06867384444922209
"gap_open,volatility_20,ma_200_gap",3,-0.015478036512243998,0.030962647117544706,0.012655450738633278,0.00290662725456059,0.0013004743959754705,0.0024408542085438967,0.03914530202746391,0.027034128084778786,0.03741523623466492,0.07233985466882586,0.04552373421611266,0.0695770510006696
"gap_open,bb_width",2,-0.013085872016147748,0.028071186763212963,0.012660629461808348,0.00293899979442358,0.001285647857002914,0.0023722245823591948,0.03965786099433899,0.026827003806829453,0.036993563175201416,0.07299257627455519,0.04565957012819127,0.06957668606191875
"gap_open,bb_width,vwap_gap",3,-0.013085824674285984,0.028071131254545634,0.00991406884362811,0.00293899979442358,0.001285647857002914,0.002414309186860919,0.03965786099433899,0.026827003806829453,0.03726109489798546,0.07299257286358625,0.04565957273589448,0.06969176419079304
"gap_open,momentum_20,volatility_20",3,-0.009046851732610994,0.02720042899080477,0.028117236664767842,0.002943570027127862,0.0012919120490550995,0.002395523712038994,0.03965180367231369,0.026994846761226654,0.037123844027519226,0.07270158093888313,0.045700476854108295,0.0684874764760025
"gap_open,bb_width,obv_change",3,-0.014609201109546,0.025606718282392138,0.016761431507722135,0.0029318088199943304,0.0012865125900134444,0.0023731845431029797,0.03961372748017311,0.026838218793272972,0.037004344165325165,0.07310233174357564,0.045775346684968105,0.06928770719096064
"volume_ratio_20,momentum_20,bb_width",3,-0.003626663747780201,0.02491889737662678,0.0026801686515267598,0.002950686030089855,0.0012706737034022808,0.0023682781029492617,0.039656784385442734,0.026891449466347694,0.03712617605924606,0.07231105770915747,0.04580765934661031,0.07027999782003463
"gap_open,momentum_20,rolling_max_20_gap",3,-0.018922025908615137,0.024218662477824004,0.027274894080011602,0.002941960236057639,0.0012886757031083107,0.0023871103767305613,0.03970130532979965,0.02699592150747776,0.03698714077472687,0.07341308484319597,0.04584055519662798,0.06854683540295811
"momentum_5,ma_200_gap,vwap_gap",3,-0.0007025505245648045,0.024144208999806405,-0.0008279459044007176,0.0029305508360266685,0.0012766275322064757,0.0024351850152015686,0.039296701550483704,0.026842717081308365,0.037420958280563354,0.07128728979732842,0.04584405289497228,0.07044789043720812
