features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"adjust_return,rolling_min_20_gap",2,-0.036948926679984284,0.03302086455367992,-0.03712386532082812,0.0003626087273005396,0.00022013195848558098,0.00022951021674089134,0.013217664323747158,0.010755584575235844,0.01002518367022276,0.025010094721801584,0.018689842727326322,0.018051976186688988
"ma_5_gap,rolling_min_20_gap",2,-0.03318271733056366,0.032623417233981655,-0.026452740810219977,0.0003622298245318234,0.00021991583344060928,0.00022997631458565593,0.013215718790888786,0.010728416033089161,0.010015564039349556,0.024919257796136664,0.01869752461789176,0.017866236669942737
"atr_gap,ma_cross_5_20",2,-0.03276737439045241,0.028823550103311613,-0.0388265273261037,0.00036247639218345284,0.00021335632482077926,0.00023351852723862976,0.013273698277771473,0.010703446343541145,0.010007819160819054,0.024909240170381968,0.018770968724857087,0.018081612390233204
"return_3,atr_gap",2,-0.048151751830256107,0.028138201732946455,-0.0035934145083897917,0.00036027657915838063,0.0002158508141292259,0.0002352363953832537,0.01326107420027256,0.010719820857048035,0.010143976658582687,0.025248475000262265,0.018784215187770313,0.017468351684510705
"volatility_20,rolling_min_20_gap",2,-0.04269129814858208,0.027891194738700165,-0.0582042491733088,0.00036096476833336055,0.00021140194439794868,0.00023459385556634516,0.013185616582632065,0.010612375102937222,0.010151704773306847,0.025151364761404692,0.01878898935683538,0.0184188972460106
"overnight_return,return_10",2,-0.04143038122325704,0.02555635967703096,-0.024210913533402323,0.0003596232272684574,0.0002186852361774072,0.0002376369811827317,0.013287842273712158,0.010809287428855896,0.010419657453894615,0.025073157250881193,0.01883411721792072,0.017827215860597788
"gap_open,return_10",2,-0.04143038122325704,0.02555635967703096,-0.024210913533402323,0.0003596232272684574,0.0002186852361774072,0.0002376369811827317,0.013287842273712158,0.010809287428855896,0.010419657453894615,0.025073157250881193,0.01883411721792072,0.017827215860597788
"return_3,rolling_min_20_gap",2,-0.034269286743003446,0.024344985182085832,-0.02491200766640178,0.00036269353586249053,0.00021871807985007763,0.0002294695732416585,0.013201580382883549,0.01070072129368782,0.010006381198763847,0.02494546468369663,0.018857530751847665,0.017839418968651443
"volatility_5,rolling_max_20_gap",2,-0.06126394945946134,0.024324078476797073,-0.04652268575811891,0.000359698839019984,0.0002130947686964646,0.00023230956867337227,0.013196906074881554,0.01080772839486599,0.010159743949770927,0.025596546963788575,0.018857934838160874,0.01821557022631168
"atr_gap,ma_10_gap",2,-0.052126533282366605,0.023532896941019232,-0.03122096933191809,0.00036020917468704283,0.00021633585856761783,0.00023452623281627893,0.013276592828333378,0.010745630599558353,0.010103917680680752,0.025344221794512126,0.01887322685215622,0.017949231527745725
