features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"price_acceleration,obv_change",2,-0.02921481495847189,0.06339717460546668,0.0015535275591016529,0.0006042146706022322,0.0003128101525362581,0.0010619028471410275,0.017493072897195816,0.012604152783751488,0.024549640715122223,0.03476750542322409,0.021297178193344736,0.05059017878957093
"range_pct,price_acceleration",2,-0.016677419323711806,0.06064706158527,0.0004703281633662293,0.0006037574494257569,0.00032273391843773425,0.0010585052659735084,0.01759926974773407,0.01287734042853117,0.024565327912569046,0.03434398453682662,0.0213597123278305,0.05064506330527365
"price_acceleration,vwap_gap",2,-0.020316747333420482,0.05868316012884289,-0.007462890312570636,0.0006102472543716431,0.0003125991497654468,0.0010382249020040035,0.017610158771276474,0.012601891532540321,0.024094033986330032,0.03446692326106131,0.021404368993535174,0.050115093938075006
price_acceleration,1,-0.02031680281751691,0.0586831061161287,0.005688184559775822,0.0006102472543716431,0.0003125991497654468,0.0010614062193781137,0.017610158771276474,0.012601891532540321,0.024534696713089943,0.03446692513534799,0.021404370221716817,0.050380680290982124
"volume_change,price_acceleration",2,-0.024943671278923052,0.053465591261342094,0.005757976803955844,0.0005998844280838966,0.0003121563058812171,0.001061270129866898,0.01750239171087742,0.012598955072462559,0.024522099643945694,0.034623223579546905,0.021523009991506116,0.05037714399513788
"high_close_gap,momentum_20",2,-0.0213462044260182,0.05109142970659242,0.027273518848187517,0.0005987215554341674,0.00033381738467141986,0.0010445901425555348,0.01758258417248726,0.013310067355632782,0.024349406361579895,0.034501698950771244,0.02157699545932701,0.04928697526920586
"overnight_return,price_acceleration",2,0.001534141466662975,0.04938759575727247,0.018377095574364066,0.0005942448042333126,0.000313739525154233,0.001026037149131298,0.017566855996847153,0.012858295813202858,0.024417320266366005,0.03372878688387573,0.0216157385148108,0.04973774719983339
"gap_open,price_acceleration",2,0.001534141466662975,0.04938759575727247,0.018377095574364066,0.0005942448042333126,0.000313739525154233,0.001026037149131298,0.017566855996847153,0.012858295813202858,0.024417320266366005,0.03372878688387573,0.0216157385148108,0.04973774719983339
"close_position,ma_10_gap",2,-0.009824095571658198,0.0468925012073349,0.010721469342110601,0.0005869638989679515,0.0003115617437288165,0.0010451156413182616,0.01742604561150074,0.012905919924378395,0.024320129305124283,0.033906690587173216,0.021672473847866067,0.04998653749935329
"high_close_gap,price_acceleration",2,-0.010504008570880075,0.0459665661114782,0.006257526034544658,0.0006048691575415432,0.00031732424395158887,0.0010588228469714522,0.017547497525811195,0.012749455869197845,0.024524234235286713,0.03413544294890017,0.02169352845521644,0.0503518323879689
