features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"intraday_return,momentum_20",2,-0.019815604977048595,0.02268238663269262,-0.030703319532473516,0.0005480278632603586,0.0005809708964079618,0.0005308346007950604,0.016899365931749344,0.017046531662344933,0.016460785642266273,0.0332335993880406,0.02987470790394582,0.03178046348621137
"body_pct,momentum_20",2,-0.019815604977048595,0.02268238663269262,-0.030703319532473516,0.0005480278632603586,0.0005809708964079618,0.0005308346007950604,0.016899365931749344,0.017046531662344933,0.016460785642266273,0.0332335993880406,0.02987470790394582,0.03178046348621137
"intraday_return,volatility_ratio",2,-0.029693401483166904,0.021808466754221545,-0.013720066505408912,0.0005480643012560904,0.000570267962757498,0.000524459290318191,0.01692943274974823,0.01682918146252632,0.016472013667225838,0.03355549555271864,0.029901421943213796,0.03125680586090311
"body_pct,volatility_ratio",2,-0.029693401483166904,0.021808466754221545,-0.013720066505408912,0.0005480643012560904,0.000570267962757498,0.000524459290318191,0.01692943274974823,0.01682918146252632,0.016472013667225838,0.03355549555271864,0.029901421943213796,0.03125680586090311
"intraday_return,atr_gap",2,-0.02462829919196885,0.017214413017241803,-0.021224487497284228,0.0005482732667587698,0.0005717133171856403,0.0005210670060478151,0.016947798430919647,0.01686805859208107,0.016319511458277702,0.033407785574672735,0.030041853274451573,0.03148819541092962
"body_pct,atr_gap",2,-0.02462829919196885,0.017214413017241803,-0.021224487497284228,0.0005482732667587698,0.0005717133171856403,0.0005210670060478151,0.016947798430919647,0.01686805859208107,0.016319511458277702,0.033407785574672735,0.030041853274451573,0.03148819541092962
"close_position,lower_shadow",2,-0.018473949024018,0.016157110450340406,-0.024135330311032765,0.0005538015975616872,0.0005742575158365071,0.0005078780231997371,0.01706787385046482,0.016916606575250626,0.01608717255294323,0.033184621436521414,0.030074172967579218,0.03131932602263987
"overnight_return,ma_10_gap",2,-0.020518764227674957,0.015685803055658698,-0.06176878809638775,0.0005448371521197259,0.0005736842285841703,0.0005462298286147416,0.016866693273186684,0.016839666292071342,0.016712985932826996,0.033302710542920985,0.030088579922448854,0.032738328829873355
"gap_open,ma_10_gap",2,-0.020518764227674957,0.015685803055658698,-0.06176878809638775,0.0005448371521197259,0.0005736842285841703,0.0005462298286147416,0.016866693273186684,0.016839666292071342,0.016712985932826996,0.033302710542920985,0.030088579922448854,0.032738328829873355
"momentum_20,atr_gap",2,-0.027628084659288454,0.014747427773707189,-0.06034279334316195,0.0005502008134499192,0.0005809504073113203,0.0005482896231114864,0.01699088327586651,0.016869770362973213,0.016784977167844772,0.03348819131497294,0.03011726423865185,0.032694360043387855
"close_position,volatility_10",2,-0.027218910154637177,0.013181178092782297,-0.03305943315143933,0.0005530166672542691,0.0005784791428595781,0.000508713535964489,0.01699620485305786,0.016945619136095047,0.016115974634885788,0.033307385421358075,0.030165141460020105,0.03159223613329232
"intraday_return,rolling_min_20_gap",2,-0.02334360289443338,0.010799087537964214,-0.015582733994861764,0.0005466254660859704,0.0005767635884694755,0.000541090383194387,0.016955867409706116,0.01694844476878643,0.016563409939408302,0.03334865408251062,0.03023795735789464,0.03131423891172744
"body_pct,rolling_min_20_gap",2,-0.02334360289443338,0.010799087537964214,-0.015582733994861764,0.0005466254660859704,0.0005767635884694755,0.000541090383194387,0.016955867409706116,0.01694844476878643,0.016563409939408302,0.03334865408251062,0.03023795735789464,0.03131423891172744
