features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volume_ratio_5,volatility_ratio",2,-0.0021077633456512146,0.052813408917915305,-0.022682351537622436,0.0007092413143254817,0.0006168910185806453,0.0007211462361738086,0.01889997534453869,0.01750316098332405,0.01979016326367855,0.038594678894151004,0.03101470589172095,0.03560517143341713
"volume_ratio_20,volatility_ratio",2,0.009022842857045243,0.05156144600036805,-0.028340300807660368,0.0007081482326611876,0.0006136598531156778,0.000722851196769625,0.018906954675912857,0.017405033111572266,0.01983054168522358,0.038166000274941325,0.031055700202705348,0.03580215562251396
"volatility_20,volatility_ratio",2,0.002663898390516617,0.04370515301473221,-0.022138133878821575,0.0007098435889929533,0.0006152968271635473,0.0007209408795461059,0.01879217103123665,0.017383931204676628,0.019692925736308098,0.03841090549249202,0.03131294689374045,0.035586224237340494
"volatility_ratio,vwap_gap",2,0.006505632269982242,0.0426639068291792,-0.011143973023594045,0.0007127168937586248,0.0006161892088130116,0.0007131937309168279,0.018802683800458908,0.017403442412614822,0.01950664073228836,0.038262946868781,0.03134704148978927,0.03519122442230582
volatility_ratio,1,0.006505685469758382,0.04266383305640453,-0.012065805792954132,0.0007127168937586248,0.0006161892088130116,0.0007167014991864562,0.018802683800458908,0.017403442412614822,0.019634518772363663,0.03826294481987134,0.0313470439054072,0.03523555135470814
"volume_change,volatility_ratio",2,0.010213472589905681,0.04062078227714527,-0.017096215314210683,0.0006973095587454736,0.0006139317993074656,0.0007172442274168134,0.01853896863758564,0.01740298606455326,0.019683873280882835,0.03812014495488257,0.03141394162084908,0.03541068744962103
"volatility_10,volatility_ratio",2,0.0019920331267556657,0.03837845407899798,-0.06317484154330155,0.0007064082892611623,0.0006123607745394111,0.0007231863564811647,0.01878579892218113,0.017372285947203636,0.019604405388236046,0.03843678137636744,0.03148736448201818,0.037014936690684404
"overnight_return,volatility_20",2,0.005258579891573079,0.03605341557892472,-0.021039521596614374,0.0006536008440889418,0.0006048783543519676,0.0007143773254938424,0.017539774999022484,0.01723599247634411,0.019432054832577705,0.03581531429663307,0.03156349561177195,0.0355479755293345
"gap_open,volatility_20",2,0.005258579891573079,0.03605341557892472,-0.021039521596614374,0.0006536008440889418,0.0006048783543519676,0.0007143773254938424,0.017539774999022484,0.01723599247634411,0.019432054832577705,0.03581531429663307,0.03156349561177195,0.0355479755293345
"volume_zscore_20,return_3",2,-0.0014960380150574881,0.035515241409747156,-0.014208035358755478,0.0006515166023746133,0.0006174877635203302,0.0007109212456271052,0.017632797360420227,0.017520809546113014,0.019821343943476677,0.03605852760374546,0.031581117602763706,0.035310134093742805
