features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volume_zscore_20,return_3",2,-0.021022709541745677,0.04699526855578473,-0.05904884023100743,0.0005846701678819954,0.0006084649357944727,0.0004954477190040052,0.01713867112994194,0.018471229821443558,0.016225062310695648,0.03345741787925363,0.031801812117919326,0.029217606002930552
"volume_ratio_5,return_3",2,-0.02142717781486181,0.04375667660303961,-0.02355037091680079,0.0005898620584048331,0.0005987827898934484,0.0004914980381727219,0.017209526151418686,0.018112095072865486,0.016093794256448746,0.03358248989679852,0.03190988408168778,0.028238255239557475
"volume_ratio_20,return_3",2,-0.02501568781717034,0.04254144379693081,-0.04885813455857457,0.0005850993911735713,0.000600685365498066,0.0004929445567540824,0.0171370729804039,0.01820969395339489,0.01613982766866684,0.03358826192561537,0.03195043645682745,0.028936459362739694
"return_3,vwap_gap",2,-0.009455032099830563,0.04129203196036779,0.0061951286824243335,0.0005933078937232494,0.0005939553957432508,0.0004935477045364678,0.017238734290003777,0.017906134948134422,0.016219113022089005,0.03318886960623786,0.03199212938779965,0.02723374468041584
return_3,1,-0.00955852152848724,0.04118289082920534,-0.014688195055154063,0.0005931955529376864,0.0005940095288679004,0.0004935236065648496,0.017237840220332146,0.017910080030560493,0.016165388748049736,0.03318292404292152,0.031995771432411856,0.02799376079055945
"volume_change,return_3",2,-0.01932707097806685,0.04103043746744872,-0.011874990841142408,0.0005888259038329124,0.0005938101094216108,0.000492651597596705,0.017168650403618813,0.017906256020069122,0.01615014113485813,0.033513442569528706,0.03200085880816914,0.027916148607619096
"close_position,ma_10_gap",2,-0.019299830375669735,0.03900638094621056,-0.024047778265681385,0.0005876433569937944,0.0006064392509870231,0.00048528381739743054,0.01720254123210907,0.01803896762430668,0.016232766211032867,0.03346211488824338,0.03206840166822076,0.027968242531642318
"return_3,volatility_ratio",2,-0.010734758340043005,0.03872636341409441,-0.0077539116114575535,0.0005876995855942369,0.0006017386913299561,0.0004982274258509278,0.017176395282149315,0.01795436069369316,0.01626434177160263,0.03311296391184442,0.03207774586626329,0.02780245406902395
"lower_shadow,return_3",2,-0.01001648682284939,0.037493871545956736,-0.024806888710754427,0.0005896153743378818,0.0005922009004279971,0.0004992779577150941,0.01724149100482464,0.018051983788609505,0.01626431755721569,0.03319797678850591,0.032118874177103865,0.028272920724702996
"high_close_gap,price_acceleration",2,-0.022696892054036466,0.03715219872060138,-0.03419224820967326,0.0005847463617101312,0.0006003914750181139,0.0004887353861704469,0.017111629247665405,0.017842860892415047,0.016078205779194832,0.03350485871778802,0.03213027581514325,0.028531849043793037
