features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"atr_14,volatility_ratio",2,-0.018343849778968302,0.04424791282102236,0.003656708641438633,0.0006013853708282113,0.000613388663623482,0.0008216892019845545,0.018200336024165154,0.018206028267741203,0.021114705130457878,0.035608982923440655,0.033703973898082044,0.03995116112055256
"volatility_ratio,obv_change",2,-0.02907505870647542,0.03650756636010688,-0.049546764043325586,0.0006025198381394148,0.0005956144304946065,0.000853641948197037,0.01799876242876053,0.017962509766221046,0.02191927842795849,0.0359842269390356,0.03397693216684275,0.042084502638317645
"return_3,atr_14",2,-0.04355287999782176,0.0345155957243809,-0.008070784149065036,0.0006052207900211215,0.0006306352443061769,0.0008031587349250913,0.01831580512225628,0.018291227519512177,0.020937617868185043,0.036466213513631385,0.03404717771190917,0.04042140762903727
"momentum_5,atr_14",2,-0.027910848101404095,0.03335393249747376,-0.023178208265719036,0.000607821682933718,0.0006222989177331328,0.000804486102424562,0.018332304432988167,0.018150577321648598,0.020938163623213768,0.03591961382917362,0.034088143007829794,0.041027181904064486
"high_close_gap,volatility_5",2,-0.010283894838395646,0.03297609580981642,-0.025971574460527558,0.000604550470598042,0.0006135189323686063,0.0008108903421089053,0.018213842064142227,0.018329843878746033,0.021163223311305046,0.0357395707877004,0.03410146717214957,0.04113918970688246
"atr_14,ma_cross_5_20",2,-0.0012338907931743748,0.029270276101382664,-0.02270748161099667,0.0006056030979380012,0.0006228541024029255,0.0008082009153440595,0.018172185868024826,0.018141409382224083,0.020831765606999397,0.03501481447601691,0.03423215048678685,0.041008306806907056
"volume_change,volatility_ratio",2,-0.020905722572658103,0.02804480906642759,-0.034477882637867774,0.0006030542426742613,0.0006049576331861317,0.0008094190852716565,0.017952358350157738,0.018015213310718536,0.021069606766104698,0.03575523160689045,0.034275365782377776,0.041480273840716106
"high_close_gap,volatility_ratio",2,0.0016707674461331479,0.02742512786610163,-0.050868521617549955,0.0005980780115351081,0.0006098808953538537,0.0008194725378416479,0.018146460875868797,0.018183330073952675,0.02135113812983036,0.03490912092383951,0.03429721843567678,0.04213750219205393
"volume_ratio_20,close_position",2,-0.000885621929825664,0.02655917784957229,-0.016077654974947064,0.0006025729817338288,0.0006247280980460346,0.0008086664020083845,0.018146317452192307,0.018329741433262825,0.020955204963684082,0.03514084768830799,0.03432775559813309,0.039873506932053715
"ma_cross_5_20,obv_change",2,-0.01558770463671788,0.025123193886777306,-0.03879466955803745,0.0006044247420504689,0.0006117377197369933,0.00083706941222772,0.01791411079466343,0.017980871722102165,0.021756084635853767,0.035516791220288724,0.03437839463585988,0.04165336744335946
"volume_ratio_20,obv_change",2,-0.024278632329830296,0.02472880422862367,-0.0034956744298431097,0.000602600397542119,0.0006091484101489186,0.0008284588111564517,0.018016405403614044,0.017999812960624695,0.021628916263580322,0.03582072741701268,0.03439230252988637,0.04023795585380867
"volume_ratio_20,high_close_gap",2,-0.017107443368819863,0.023434914145124663,-0.03493981774503663,0.0005982324946671724,0.0006288454751484096,0.000821258407086134,0.018154585734009743,0.01846298761665821,0.02124098315834999,0.035569939011475066,0.03443793071965047,0.04149879641627194
"volatility_5,volatility_20",2,-0.014777183066135846,0.023348540286950104,0.024201038779276485,0.0005972724757157266,0.000603874446824193,0.0008139497949741781,0.018111856654286385,0.0180843286216259,0.021229060366749763,0.03548426534980536,0.03444097663741559,0.03912737894570455
"volatility_10,volatility_ratio",2,-0.016945521978652733,0.020837974571637607,-0.004787726240551571,0.0005956848035566509,0.0006111144903115928,0.0008098604739643633,0.01810431480407715,0.018295196816325188,0.021155355498194695,0.03556008683517575,0.034529510099673644,0.04028976427216548
"atr_gap,volatility_20",2,-0.0230304967446171,0.02006408010973204,-0.009670422940289303,0.0006023842724971473,0.0006223219679668546,0.0008064681314863265,0.01835380494594574,0.01832754537463188,0.021067142486572266,0.0357728634553496,0.03455680098304584,0.040485549604636614
"volume_ratio_20,volatility_5",2,-0.047355726016571564,0.017213442131486012,-0.045350360293950454,0.0005942702991887927,0.0006227004341781139,0.0008089639013633132,0.018048932775855064,0.018479129299521446,0.02092919312417507,0.03662777176650706,0.03465732687182027,0.0419162361344206
"volume_ratio_5,volatility_20",2,-0.0123998738341482,0.016960016035999725,-0.030706494075869672,0.0005988483317196369,0.000612494011875242,0.0008061018888838589,0.01826592907309532,0.018255164846777916,0.02096950262784958,0.035401136685686695,0.03466626377776266,0.04132904950529337
"range_pct,volatility_ratio",2,-0.0038599800234986326,0.01552840609505346,0.0050331449519143145,0.0005968480254523456,0.0006135927396826446,0.0008178820717148483,0.01805771142244339,0.01822885125875473,0.021272342652082443,0.035102517576888204,0.03471674856846221,0.039895969070494176
"atr_14,volatility_20",2,-0.03107375273243984,0.015504771762987035,0.013078839924243968,0.0006009889184497297,0.0006348434835672379,0.000809473276603967,0.018359467387199402,0.018610339611768723,0.02107655443251133,0.0360541163594462,0.03471758201776538,0.03957335450686514
"volume_ratio_20,ma_cross_5_20",2,-0.016202099637055767,0.015216588168089351,-0.00416408738787033,0.0006000130670145154,0.0006189245032146573,0.0008029695600271225,0.018035447224974632,0.01808287389576435,0.020835593342781067,0.03553827763535082,0.0347277446242515,0.04026475773425772
"atr_14,ma_5_gap",2,-0.03898800594162033,0.01500495001228741,-0.022186942271606336,0.0006034401594661176,0.0006171719287522137,0.0008186597842723131,0.018307512626051903,0.018136322498321533,0.02121938206255436,0.03630669723497704,0.03473520790576004,0.04098743433132766
volatility_ratio,1,-0.016753320996149013,0.014881778119879563,-0.027242360939188526,0.0006115385331213474,0.000599479244556278,0.0008108967449516058,0.018127942457795143,0.017871590331196785,0.021065684035420418,0.0355533660389483,0.0347395514821983,0.0411901454324834
"volatility_ratio,vwap_gap",2,-0.016049107414709773,0.014461454108736671,-0.042537570232882516,0.0006127922679297626,0.0005998965352773666,0.0008012565667741001,0.01816641539335251,0.01789439469575882,0.020942050963640213,0.03558513813404716,0.03475437393426546,0.04101021483074874
"momentum_5,volatility_ratio",2,-0.007327129779662878,0.014285613480645498,-0.014194897982149568,0.0006029006326571107,0.0005960059352219105,0.0008094038348644972,0.01816754788160324,0.01784493215382099,0.021075643599033356,0.03522375528700651,0.03476057483931072,0.04066697104135528
"volume_change,volatility_20",2,-0.02748349266772321,0.01423336806435449,-0.018032452419622702,0.0006001451401971281,0.0006221107323653996,0.000801803485956043,0.01811355911195278,0.018402088433504105,0.0210611242800951,0.03598560517420993,0.03476241723983549,0.04082084848196245
"intraday_return,volatility_ratio",2,-0.017831704234425372,0.013592800260030624,-0.019744869261688613,0.0005995268002152443,0.0006011496880091727,0.0008292507845908403,0.018102826550602913,0.01797417178750038,0.021350465714931488,0.03559107445180418,0.034785006445599724,0.040889512607827784
"body_pct,volatility_ratio",2,-0.017831704234425372,0.013592800260030624,-0.019744869261688613,0.0005995268002152443,0.0006011496880091727,0.0008292507845908403,0.018102826550602913,0.01797417178750038,0.021350465714931488,0.03559107445180418,0.034785006445599724,0.040889512607827784
"volatility_ratio,ma_cross_5_20",2,-0.005709050542487715,0.013365677738206072,-0.009588038659034348,0.0006024128524586558,0.0005988230695948005,0.0008149789064191282,0.01806093566119671,0.01780640333890915,0.021059516817331314,0.03516717503080145,0.034793015773175284,0.040482246177271
"volume_change,volatility_5",2,-0.008270854114470039,0.013227388781614224,0.0020361498639714926,0.0006032754317857325,0.0006142226629890501,0.0008045224822126329,0.018034735694527626,0.01829143613576889,0.02099415473639965,0.0357366313604871,0.03479789244302083,0.04001614194130525
"volume_ratio_20,intraday_return",2,-0.017085431866321388,0.012498386942043305,0.006975295142772953,0.000599672959651798,0.0006262847455218434,0.0008231920655816793,0.018139054998755455,0.018291866406798363,0.021157726645469666,0.03556916923262179,0.03482360021735076,0.039818093145731835
"volume_ratio_20,body_pct",2,-0.017085431866321388,0.012498386942043305,0.006975295142772953,0.000599672959651798,0.0006262847455218434,0.0008231920655816793,0.018139054998755455,0.018291866406798363,0.021157726645469666,0.03556916923262179,0.03482360021735076,0.039818093145731835
"volume_change,lower_shadow",2,0.004070252503349692,0.012433001437615054,0.007015556308628934,0.0006095406715758145,0.0006264807307161391,0.0008025921997614205,0.018121974542737007,0.018318485468626022,0.02106369473040104,0.03529921955196187,0.034825905994512144,0.03981647876207716
"range_pct,atr_14",2,-0.02966644481798042,0.012094327106662917,-0.027027659495993284,0.0006051968084648252,0.0006303481059148908,0.0008072681375779212,0.018274089321494102,0.018504004925489426,0.02100134640932083,0.0359809619083535,0.0348378491238691,0.041181536379735914
"high_close_gap,upper_shadow",2,-0.01020657037972339,0.011682933201425771,-0.04475924720223756,0.0006019715801812708,0.0006235726759769022,0.0008232332766056061,0.018354840576648712,0.018388763070106506,0.02152138389647007,0.03573683537542821,0.03485235666157678,0.04189253380754962
"volatility_5,volatility_ratio",2,-0.024970199146308714,0.011523208648176242,-0.02053527072591077,0.000598398968577385,0.0006072742398828268,0.0008079758263193071,0.018194546923041344,0.018124891445040703,0.02115631476044655,0.035840690083568924,0.03485798924375559,0.04092120595742017
"atr_14,ma_10_gap",2,-0.042062462216138075,0.01072913652929175,-0.019054564950688135,0.0006075085257180035,0.0006128060631453991,0.0008083509164862335,0.018330371007323265,0.018050502985715866,0.021025583148002625,0.036414131923811516,0.03488599167903886,0.04086183293256908
"volume_ratio_20,volatility_20",2,-0.033829592857465896,0.010363999629735776,-0.029757539112307052,0.0005976971006020904,0.0006253411993384361,0.0008114291704259813,0.01818685047328472,0.018467608839273453,0.02103486843407154,0.03615048131905496,0.034898867993615565,0.0412909985112492
"atr_gap,obv_change",2,-0.02976834157094621,0.0100333192822466,-0.03411471908007391,0.0005997296539135277,0.0006175287417136133,0.0008424053085036576,0.018077963963150978,0.018263602629303932,0.021763281896710396,0.035984522617945915,0.03491052922036034,0.0414657117857132
"range_pct,volatility_5",2,-0.012715239461489114,0.009019038094875031,-0.0024107668828781126,0.0006015775143168867,0.0006152054411359131,0.0008107698522508144,0.018168866634368896,0.018234016373753548,0.02105296589434147,0.03582558147609234,0.034946297184797005,0.04019445346202701
"high_close_gap,ma_cross_5_20",2,-0.012000218372373528,0.008804461111710848,-0.03244121257772514,0.0006005894392728806,0.0006174998707138002,0.0008107922039926052,0.01815815642476082,0.01820630393922329,0.021180205047130585,0.035391330858692525,0.03495386410213541,0.04139860787836369
"volume_zscore_20,volatility_5",2,-0.04889876129020121,0.008517041006153692,-0.042070788323989694,0.0005933321081101894,0.0006096670986153185,0.0008236340945586562,0.018189508467912674,0.018361421301960945,0.02140885218977928,0.0366817342764989,0.03496399978466798,0.04178473255597055
"return_10,volatility_ratio",2,-0.020567987408763866,0.008173780911126083,-0.0077953957655374495,0.0006043050670996308,0.0005932343192398548,0.0008176224073395133,0.01816515065729618,0.017869243398308754,0.021234329789876938,0.03568675555288793,0.03497610462800367,0.040410365164279934
"volume_change,high_close_gap",2,-0.016246306942380162,0.008161747308945921,-0.023630719126851663,0.00060813914751634,0.0006207411061041057,0.0008119620615616441,0.01817960850894451,0.01833501271903515,0.021258709952235222,0.036019309191033244,0.03497652898513479,0.04104532658820971
