features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"close_low_gap,signed_volume",2,0.0022810748685937465,0.09239813858204182,0.0039889581098030424,0.0008634706027805805,0.0002767347323242575,0.0005406656418927014,0.02168472483754158,0.011097471229732037,0.016712293028831482,0.04406234435737133,0.018345735326875008,0.03018760078120976
"return_3,momentum_5",2,0.010164910914781444,0.07863849457554262,-0.08459795372927292,0.0008324505761265755,0.00028289627516642213,0.0005292948917485774,0.021482199430465698,0.011321748606860638,0.016478484496474266,0.04375583311775699,0.01862386475550011,0.032872537209186696
"close_low_gap,ma_cross_5_20",2,-0.00809996965039761,0.06721326965119212,-0.10785710040408003,0.0008566738106310368,0.00028467338415794075,0.0005329516134224832,0.021681999787688255,0.01136027555912733,0.016759006306529045,0.04473392837680877,0.0188548075966537,0.03357748705893754
"close_low_gap,rolling_min_20_gap",2,-0.012819179255041169,0.06695821173079841,-0.09013279042488609,0.0008537227404303849,0.00029302045004442334,0.0005293554277159274,0.02167566493153572,0.011616823263466358,0.01668759435415268,0.04494334092596546,0.01885996318887919,0.03304028980783186
"adjust_return,ma_5_gap",2,-0.008681055955202188,0.06647834608580694,-0.11989966226501214,0.0008396062185056508,0.00028935878071933985,0.0005188455688767135,0.02147899940609932,0.011352994479238987,0.01645076274871826,0.044552319869399074,0.018869662913493814,0.033942479046527294
"rolling_min_20_gap,obv_change",2,-0.0003423336661982912,0.06082241876082517,-0.06091336481674903,0.0008382879314012825,0.0002917419478762895,0.0005356000037863851,0.02143327333033085,0.011438555084168911,0.016529984772205353,0.04438968718750404,0.01898398853372783,0.03215469284332357
"ma_cross_5_20,signed_volume",2,0.004617010352138795,0.05934983768596369,-0.0966933402641994,0.0008563626906834543,0.000282038381556049,0.0005342887598089874,0.02166512981057167,0.011246482841670513,0.016597187146544456,0.044169618794694554,0.019013754429761325,0.03323913023341447
"ma_cross_5_20,obv_change",2,0.00174309662711436,0.054737811075696974,-0.05041503566785477,0.0008395907934755087,0.00028534966986626387,0.0005400211084634066,0.021488452330231667,0.01116612832993269,0.016639694571495056,0.044297147268662226,0.019106979249045267,0.03183650423306969
"close_low_gap,momentum_5",2,-0.013491459328563327,0.053831275069481044,-0.08516834597670653,0.0008529042825102806,0.0002813760074786842,0.0005276757874526083,0.02168932929635048,0.011290324851870537,0.01670023426413536,0.04480156709905714,0.019125303439795974,0.03288982494268566
"upper_shadow,rolling_min_20_gap",2,-0.009008025108305118,0.05351992854033394,-0.024563036876342315,0.0008510943735018373,0.0002982167643494904,0.0005358328926376998,0.021669387817382812,0.011685466393828392,0.016802377998828888,0.044774222880369065,0.01913159681716934,0.03105296892463229
"adjust_return,return_10",2,0.0062234557685261205,0.05345714890211373,-0.032678044586544885,0.0008459555683657527,0.0002879126986954361,0.0005295057781040668,0.021698178723454475,0.011340314522385597,0.01659489795565605,0.044111315393820405,0.019132865808205682,0.031298922636779025
"rolling_min_20_gap,signed_volume",2,-0.004667378685111023,0.05101481965869259,-0.05451063679552948,0.000850472308229655,0.00029463376267813146,0.0005345875397324562,0.021656157448887825,0.011615014635026455,0.016630874946713448,0.04458160888170824,0.0191822336288169,0.03196063576033337
