features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"intraday_return,close_low_gap",2,-0.035557512518572754,0.03273935975758746,0.00625727953555355,0.0006681827362626791,0.0003614460292737931,0.0011046918807551265,0.018546313047409058,0.013736761175096035,0.025386102497577667,0.03707262091338635,0.024435842136153955,0.05133376548765227
"body_pct,close_low_gap",2,-0.035557512518572754,0.03273935975758746,0.00625727953555355,0.0006681827362626791,0.0003614460292737931,0.0011046918807551265,0.018546313047409058,0.013736761175096035,0.025386102497577667,0.03707262091338635,0.024435842136153955,0.05133376548765227
"intraday_return,upper_shadow",2,-0.02547351986701396,0.030851427865576264,0.015045036417532187,0.0006647721165791154,0.0003635379543993622,0.0011039806995540857,0.018470216542482376,0.01371447928249836,0.02538459189236164,0.03671161726815626,0.024483536835759878,0.050879816350061446
"body_pct,upper_shadow",2,-0.02547351986701396,0.030851427865576264,0.015045036417532187,0.0006647721165791154,0.0003635379543993622,0.0011039806995540857,0.018470216542482376,0.01371447928249836,0.02538459189236164,0.03671161726815626,0.024483536835759878,0.050879816350061446
"high_close_gap,atr_14",2,-0.038480380558871374,0.02795684828061873,0.005389218330294043,0.0006722328253090382,0.00036194949643686414,0.0011511474149301648,0.01852623000741005,0.0138940354809165,0.025530638173222542,0.03723336969269439,0.024556662410032012,0.05137860692339018
"close_low_gap,ma_10_gap",2,-0.047900108650644535,0.027758292892755332,0.009912391094416217,0.0006691740709356964,0.00035556365037336946,0.0010972226737067103,0.018558669835329056,0.01370045356452465,0.025271670892834663,0.037531655514612794,0.024561678501777352,0.051144953398033974
"volume_change,intraday_return",2,-0.02885113306716014,0.027494671387360725,0.018449826966038252,0.000668324064463377,0.0003600733180064708,0.0011020349338650703,0.018487848341464996,0.013645254075527191,0.025280388072133064,0.03683979379129596,0.024568338354583833,0.05070393509231508
"volume_change,body_pct",2,-0.02885113306716014,0.027494671387360725,0.018449826966038252,0.000668324064463377,0.0003600733180064708,0.0011020349338650703,0.018487848341464996,0.013645254075527191,0.025280388072133064,0.03683979379129596,0.024568338354583833,0.05070393509231508
"close_return,close_low_gap",2,-0.04531128602125456,0.026901958124527114,0.014608052331219201,0.0006674588657915592,0.000355758354999125,0.0011040875688195229,0.018573112785816193,0.01372487097978592,0.025409100577235222,0.037429178028833124,0.024583312030881647,0.050902389636030415
"adjust_return,atr_gap",2,-0.03515217086220601,0.026365299747278526,0.016545910263783936,0.0006721028476022184,0.0003557986347004771,0.001104176277294755,0.01862822100520134,0.013688244856894016,0.025252895429730415,0.037114041042514145,0.024596869596280158,0.050802285713143644
"momentum_5,ma_cross_5_20",2,-0.03210414921497362,0.026198858076780684,0.030816541253831153,0.0006725003477185965,0.0003469446091912687,0.0010977799538522959,0.018600312992930412,0.01354586984962225,0.025114627555012703,0.03704786051530391,0.024601074401289225,0.05006510776001959
"close_return,momentum_20",2,-0.03789312465357586,0.025180285189975282,0.010553274968201909,0.0006713622133247554,0.00036033440846949816,0.0011086161248385906,0.01859806664288044,0.01376576442271471,0.02547861821949482,0.037173244752921164,0.024626806541346018,0.051111847261199723
"close_return,lower_shadow",2,-0.05297073120255136,0.025018248217025807,0.01116875151296881,0.0006684219115413725,0.0003542038903106004,0.0010978374630212784,0.018613355234265327,0.013613829389214516,0.02531510591506958,0.03770343770738692,0.024630900070769714,0.05108005359070376
"intraday_return,rolling_max_20_gap",2,-0.032093567704231996,0.02488118141157558,0.0030601471391293877,0.0006728948792442679,0.0003621426585596055,0.0011100106639787555,0.01867329701781273,0.01373631414026022,0.02546536922454834,0.03704748068703339,0.024634362780489038,0.051498919748701154
"body_pct,rolling_max_20_gap",2,-0.032093567704231996,0.02488118141157558,0.0030601471391293877,0.0006728948792442679,0.0003621426585596055,0.0011100106639787555,0.01867329701781273,0.01373631414026022,0.02546536922454834,0.03704748068703339,0.024634362780489038,0.051498919748701154
"ma_10_gap,ma_cross_5_20",2,-0.026358018835863417,0.024393959238017793,0.016278190844567053,0.0006707156426273286,0.00035367775126360357,0.001104092923924327,0.01860356517136097,0.013629463501274586,0.025303857401013374,0.03684160048142076,0.024646671442314985,0.05081611529458314
"adjust_return,rolling_max_20_gap",2,-0.039049239646049116,0.024188464441211477,0.03461582453097323,0.0006756408838555217,0.00035730432136915624,0.001121451030485332,0.018739214166998863,0.013644029386341572,0.02545853517949581,0.0372971577802673,0.02465186284389347,0.049868848192272705
"close_low_gap,price_acceleration",2,-0.030756795917872726,0.023199395793188415,0.018084823213037282,0.0006764634745195508,0.0003496490535326302,0.0010948886629194021,0.01863478682935238,0.01352507434785366,0.024937672540545464,0.036917649558745325,0.024676849620300347,0.0507227900903672
"intraday_return,lower_shadow",2,-0.04035626445325691,0.02284671850129394,0.015784097284586185,0.0006680022925138474,0.0003600477648433298,0.0010991515591740608,0.018555667251348495,0.013662803918123245,0.025290822610259056,0.03724441466620193,0.024685759283602247,0.0508416386845056
"body_pct,lower_shadow",2,-0.04035626445325691,0.02284671850129394,0.015784097284586185,0.0006680022925138474,0.0003600477648433298,0.0010991515591740608,0.018555667251348495,0.013662803918123245,0.025290822610259056,0.03724441466620193,0.024685759283602247,0.0508416386845056
"intraday_return,obv_change",2,-0.02979406789484762,0.022553885259264383,0.02030134471432643,0.0006668577552773058,0.00036063313018530607,0.0011067051673308015,0.018443360924720764,0.013678396120667458,0.02532472275197506,0.03687355720321648,0.024693157110596074,0.0506082912441343
"body_pct,obv_change",2,-0.02979406789484762,0.022553885259264383,0.02030134471432643,0.0006668577552773058,0.00036063313018530607,0.0011067051673308015,0.018443360924720764,0.013678396120667458,0.02532472275197506,0.03687355720321648,0.024693157110596074,0.0506082912441343
"lower_shadow,obv_change",2,-0.025291832518437918,0.02243306562897862,0.0037727689692327315,0.0006774436333216727,0.0003443540190346539,0.0010856237495318055,0.018523890525102615,0.013403283432126045,0.02497151866555214,0.03671234688081313,0.024696209368994464,0.05146210784441791
"adjust_return,momentum_20",2,-0.035492436605635724,0.022295754361317255,0.014749048922138797,0.000673474685754627,0.0003581821802072227,0.001103861490264535,0.018606875091791153,0.01373137254267931,0.025354934856295586,0.03708726156037301,0.024699678254546602,0.05089510617544875
"range_pct,obv_change",2,-0.0171626860637637,0.022109716083826947,0.007934353118405513,0.0006783992284908891,0.00034500801120884717,0.001092462451197207,0.01847117766737938,0.013473022729158401,0.0250400323420763,0.03642126873601228,0.02470437812735327,0.05124713290133513
"ma_5_gap,rolling_max_20_gap",2,-0.033535516889614314,0.021920442195745626,0.006734875346514624,0.0006759681855328381,0.00035644721356220543,0.0011154280509799719,0.018697910010814667,0.013619720004498959,0.02542528510093689,0.03709924012655394,0.024709159741178155,0.051309094321914016
"adjust_return,ma_10_gap",2,-0.03737271988103963,0.021820597930109487,0.02027275955360197,0.0006700388621538877,0.00035450898576527834,0.0011014703195542097,0.018553443253040314,0.01359851099550724,0.025206729769706726,0.03715460590319708,0.024711682100314648,0.05060976786771789
"overnight_return,body_pct",2,-0.036644106075538474,0.021281634557606566,0.03903353197714965,0.0006665269611403346,0.00036324767279438674,0.0011065311264246702,0.018597634509205818,0.013821660540997982,0.025515519082546234,0.03711883466457948,0.02472529789665714,0.049640642688609654
"gap_open,body_pct",2,-0.036644106075538474,0.021281634557606566,0.03903353197714965,0.0006665269611403346,0.00036324767279438674,0.0011065311264246702,0.018597634509205818,0.013821660540997982,0.025515519082546234,0.03711883466457948,0.02472529789665714,0.049640642688609654
"intraday_return,overnight_return",2,-0.036644133385732136,0.021281579490246783,0.03903352025831763,0.0006665269611403346,0.00036324767279438674,0.0011065311264246702,0.018597634509205818,0.013821660540997982,0.025515520945191383,0.037118835642468186,0.02472529928782024,0.04964064329396933
"intraday_return,gap_open",2,-0.036644133385732136,0.021281579490246783,0.03903352025831763,0.0006665269611403346,0.00036324767279438674,0.0011065311264246702,0.018597634509205818,0.013821660540997982,0.025515520945191383,0.037118835642468186,0.02472529928782024,0.04964064329396933
"momentum_5,rolling_max_20_gap",2,-0.029307773465330644,0.02091057225583548,0.018333124077063112,0.0006748081068508327,0.0003589912666939199,0.001113787409849465,0.01867407001554966,0.013730203732848167,0.025408480316400528,0.036947483301628385,0.024734672019258143,0.05070996361318976
"volume_change,obv_change",2,-0.02002735712161141,0.020631423252673198,0.0077546406619416475,0.000677339150570333,0.00034404528560116887,0.001089388271793723,0.01844783127307892,0.013401351869106293,0.02499357983469963,0.0365238432365004,0.02474172414222267,0.051256416307296604
"adjust_return,lower_shadow",2,-0.04802186760233518,0.020312755585127018,0.02035152480888447,0.0006712994072586298,0.0003515359712764621,0.001091336365789175,0.01861513778567314,0.013561851345002651,0.025164572522044182,0.03752623508917168,0.024749774622614497,0.05060569909110199
"range_pct,momentum_5",2,-0.03555707165748312,0.020078909392776567,0.0186600008358232,0.0006722630350850523,0.00034876036806963384,0.0010905714007094502,0.018536105751991272,0.013642124831676483,0.025105327367782593,0.03708721790462732,0.024755682263639757,0.05069307814119384
"upper_shadow,obv_change",2,-0.01523219220229688,0.02007771208091702,0.01941521464780438,0.0006745537393726408,0.0003457734128460288,0.0010911633726209402,0.018439793959259987,0.013484146445989609,0.02499772422015667,0.03635214406531305,0.024755712511250763,0.05065406606299802
"adjust_return,ma_cross_5_20",2,-0.03503967311192424,0.019427730376921026,0.028805526146796323,0.0006720325327478349,0.0003537778393365443,0.0010968807619065046,0.018610665574669838,0.013593305833637714,0.02516784332692623,0.03715323251672091,0.024772132956422867,0.050168990762904285
"vwap_gap,obv_change",2,-0.013990647717838423,0.019333082258123135,0.007856073474847736,0.0006824517622590065,0.0003448121133260429,0.001088788267225027,0.018536193296313286,0.013436594046652317,0.024981334805488586,0.03630768841831014,0.024774524045642468,0.0514440342085436
obv_change,1,-0.013990683806308635,0.019333068894496264,0.00862267031649988,0.0006824517040513456,0.00034481208422221243,0.0010900454362854362,0.018536193296313286,0.013436594046652317,0.024994943290948868,0.036307689710520216,0.0247745243832469,0.0512115765013732
