features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"range_pct,close_position",2,-0.017202821197051188,0.04315963505849718,-0.05732496650691199,0.00045436297659762204,0.00017300165200140327,0.00036701589124277234,0.01563984341919422,0.009861255064606667,0.01325344480574131,0.030167650943622,0.016556942160241304,0.024323990428820257
"volatility_20,rolling_min_20_gap",2,-0.0041742779406430675,0.039487051424732744,-0.01979088362665604,0.000455393543234095,0.00017209893849212676,0.0003882661694660783,0.015707407146692276,0.009806813672184944,0.013379327952861786,0.029753279802389447,0.01662049168953672,0.023677197139477357
"range_pct,body_pct",2,-0.007776517489160195,0.038073931718784815,-0.01782111008987952,0.000454313907539472,0.00017218152061104774,0.000384451326681301,0.01565784588456154,0.009861593134701252,0.013496296480298042,0.029885002004448328,0.01664494398282841,0.02363146353163756
"intraday_return,range_pct",2,-0.007776370274060973,0.03807391960884432,-0.017821254996697622,0.000454313907539472,0.00017218152061104774,0.00038445135578513145,0.01565784588456154,0.009861593134701252,0.013496296480298042,0.02988499763887376,0.016644944192375992,0.023631466896040357
"volatility_ratio,rolling_min_20_gap",2,0.00026280280881130214,0.03553415361907175,-0.03940896888086676,0.00045643484918400645,0.00016660461551509798,0.00038791741826571524,0.015728682279586792,0.009748898446559906,0.013498569838702679,0.029621810885146264,0.016688891709782182,0.024132683925563468
"close_low_gap,rolling_min_20_gap",2,-0.01277344570637351,0.034300505247702895,-0.026611114319674556,0.00045540393330156803,0.0001689818745944649,0.00038865910028107464,0.015687935054302216,0.009865044616162777,0.01361953467130661,0.03000807788921522,0.01671023847302422,0.02383554719854146
"high_close_gap,ma_50_gap",2,-0.009376913854464597,0.03334295140678678,-0.007996957542458771,0.00045474356738850474,0.00017380651843268424,0.0003807034227065742,0.01567802205681801,0.009840616025030613,0.013344762846827507,0.0299074522103183,0.01672680776100606,0.02340336932102218
"intraday_return,high_close_gap",2,-0.00026019542527278006,0.03329188479741618,-0.04582338075866432,0.0004548956931103021,0.00017254037084057927,0.0003835333918686956,0.01565626636147499,0.009769534692168236,0.013343329541385174,0.029662110027857125,0.01672769140568562,0.02428161180578172
"body_pct,high_close_gap",2,-0.00026019542527278006,0.03329188479741618,-0.04582338075866432,0.0004548956931103021,0.00017254037084057927,0.0003835333918686956,0.01565626636147499,0.009769534692168236,0.013343329541385174,0.029662110027857125,0.01672769140568562,0.02428161180578172
"upper_shadow,lower_shadow",2,-0.012409414348907966,0.03241824712466834,9.735933125976093e-05,0.0004564322007354349,0.00016283885634038597,0.00039123406168073416,0.015704339370131493,0.009575641714036465,0.013408943079411983,0.030022387753706425,0.01674280862789601,0.023215437913313507
"intraday_return,atr_14",2,-0.010190739551772632,0.031897544581494186,-0.10448513608633525,0.0004542268579825759,0.00017472647596150637,0.0004196790396235883,0.01571185328066349,0.010033008642494678,0.014216874726116657,0.02993154880823568,0.016751818743068726,0.025643602747004477
"body_pct,atr_14",2,-0.010190739551772632,0.031897544581494186,-0.10448513608633525,0.0004542268579825759,0.00017472647596150637,0.0004196790396235883,0.01571185328066349,0.010033008642494678,0.014216874726116657,0.02993154880823568,0.016751818743068726,0.025643602747004477
"close_position,upper_shadow",2,-0.011526109423870334,0.03181318471856631,-0.006513186775702007,0.0004559038789011538,0.00017033472249750048,0.00036571366945281625,0.015701256692409515,0.009793395176529884,0.013078320771455765,0.029999294097069668,0.01675327848643065,0.023155054403468968
"volatility_10,volatility_ratio",2,0.0015294407133653598,0.03119799672038015,-0.03172517929115082,0.0004585777933243662,0.0001629500329727307,0.00039306512917391956,0.015727976337075233,0.00958455540239811,0.013687693513929844,0.029584280913695693,0.016763923555845404,0.02395428401650861
"overnight_return,rolling_min_20_gap",2,-0.008110602602201755,0.031102865738270036,-0.015611494458895647,0.0004547355929389596,0.00016795434930827469,0.00038064035470597446,0.015685904771089554,0.009781473316252232,0.013478238135576248,0.029869919686461806,0.01676556968013756,0.02358016134239733
"gap_open,rolling_min_20_gap",2,-0.008110602602201755,0.031102865738270036,-0.015611494458895647,0.0004547355929389596,0.00016795434930827469,0.00038064035470597446,0.015685904771089554,0.009781473316252232,0.013478238135576248,0.029869919686461806,0.01676556968013756,0.02358016134239733
"ma_20_gap,rolling_max_20_gap",2,-0.014065711870943298,0.028615304692262256,-0.028441407773370564,0.00045509240590035915,0.000170731742400676,0.0003862169396597892,0.015678735449910164,0.009748893789947033,0.013499577529728413,0.030046367226168522,0.016808613855391744,0.023878042399883267
"lower_shadow,volatility_20",2,-0.019893734069665214,0.028113854263175697,-0.028883436746727664,0.0004553635371848941,0.00016400008462369442,0.00040268435259349644,0.01569894142448902,0.00959948543459177,0.013733125291764736,0.03021904096240178,0.016817290836479516,0.023888305295258757
"ma_10_gap,rolling_max_20_gap",2,-0.00729449411080596,0.027533347452267987,-0.030899515282380552,0.0004554667684715241,0.00017023560940288007,0.00038585049333050847,0.015689318999648094,0.009757270105183125,0.013481199741363525,0.029845738713629555,0.016827335790731014,0.023935113998595624
"atr_14,volatility_20",2,-0.011892404271956591,0.02739575027315866,-0.07831360336915116,0.00045641663018614054,0.00017206676420755684,0.0004201879200991243,0.015707952901721,0.009864624589681625,0.014091572724282742,0.029981964780017738,0.01682971674017608,0.025035959994420397
"high_close_gap,close_low_gap",2,-0.004523602407213723,0.02691033306873214,-0.019740145933220044,0.00045419653179124,0.0001722778397379443,0.00038194848457351327,0.0156343225389719,0.009886672720313072,0.013382988050580025,0.02978853877866641,0.016838116286089645,0.023676019127015023
"rolling_max_20_gap,rolling_min_20_gap",2,-0.0072713669151769356,0.026813769413398303,-0.027954530891843188,0.00045658883755095303,0.0001689874625299126,0.00038289703661575913,0.015699876472353935,0.009760716930031776,0.013513203710317612,0.029845053463941444,0.016839787201024595,0.02386673823930323
"range_pct,rolling_min_20_gap",2,-0.010058469903904355,0.026645104518661644,-0.03103639356103005,0.00045315339230000973,0.00017211663362104446,0.0003831920330412686,0.015664979815483093,0.009901244193315506,0.013392645865678787,0.029927634226623926,0.016842705738963563,0.02393829199718311
"close_low_gap,ma_5_gap",2,-0.020263659942144185,0.02606308463798257,-0.02471379669911533,0.0004547621647361666,0.00016825340571813285,0.0003852542140521109,0.015681056305766106,0.00979948416352272,0.013469172641634941,0.03023002946283671,0.016852776875020938,0.023791495850309728
"range_pct,high_close_gap",2,-0.007004261232516962,0.025937805286550875,-0.0170149952142844,0.0004542616370599717,0.00017221583402715623,0.0003821011632680893,0.015633665025234222,0.0098879961296916,0.013380150310695171,0.029862101213075223,0.016854944679653275,0.023612747399602084
"adjust_return,ma_5_gap",2,-0.020219966907361497,0.025777073748304513,-0.004533239835108782,0.00045528312330134213,0.0001683006266830489,0.00038522505201399326,0.01565743423998356,0.009741652756929398,0.013516157865524292,0.030228734854608794,0.01685772594064474,0.023322949768044055
"upper_shadow,rolling_min_20_gap",2,-0.009482128794674693,0.025401942107197595,-0.009027299674416511,0.0004552291939035058,0.0001712610974209383,0.0003802332212217152,0.015701260417699814,0.009787525050342083,0.013195792213082314,0.029910557466791957,0.01686421713093296,0.023427291493862867
"intraday_return,upper_shadow",2,0.0022323980299814306,0.02532188564613458,0.0037261557384755672,0.0004566256538964808,0.00017042062245309353,0.00037867200444452465,0.015695838257670403,0.009716574102640152,0.01320700068026781,0.029588193679228426,0.016865602409234272,0.023131185612874104
"body_pct,upper_shadow",2,0.0022323980299814306,0.02532188564613458,0.0037261557384755672,0.0004566256538964808,0.00017042062245309353,0.00037867200444452465,0.015695838257670403,0.009716574102640152,0.01320700068026781,0.029588193679228426,0.016865602409234272,0.023131185612874104
"ma_cross_5_20,rolling_max_20_gap",2,-0.017574660162769984,0.025198328933720315,-0.02529284986075586,0.00045475680963136256,0.00016952978330664337,0.00038651219801977277,0.015688344836235046,0.009686541743576527,0.01351431105285883,0.03015033598057926,0.016867740405723454,0.023804940131958573
"high_close_gap,ma_20_gap",2,-0.007493889139750909,0.0251119527657212,-0.021126890145485078,0.00045264317304827273,0.00017375072638969868,0.00038162205601111054,0.01564418524503708,0.009845290333032608,0.013383682817220688,0.02985164670972154,0.016869235038757327,0.02370821613585576
"return_3,ma_20_gap",2,-0.025002680849118164,0.02481860224301846,-0.045038333780094364,0.0004512864106800407,0.00017033015319611877,0.000386561470804736,0.01562061719596386,0.009815502911806107,0.013451186940073967,0.030370425304863603,0.016874311107676475,0.02426338482182473
"range_pct,momentum_5",2,-0.013131111968315068,0.024810388339576273,-0.03345081592627075,0.00045227244845591486,0.00017100039985962212,0.00038548861630260944,0.015642639249563217,0.009824583306908607,0.013417783193290234,0.030018684646347542,0.016874453239142898,0.023994349327404053
"high_close_gap,ma_10_gap",2,-0.01493312304156702,0.024452154270123483,-0.02297548974272723,0.000453014625236392,0.00017311930423602462,0.00037995251477696,0.015660373494029045,0.009830429218709469,0.013368921354413033,0.030072080565150826,0.01688065203779843,0.023751136363716795
"high_close_gap,volatility_20",2,-0.006650160963204144,0.0243483860412389,-0.04010966128836446,0.00045528876944445074,0.00017126050079241395,0.00038195971865206957,0.01566966436803341,0.009822681546211243,0.01329118013381958,0.029826639220118526,0.016882447618991138,0.024148952390532934
"upper_shadow,ma_50_gap",2,-0.007027945913845812,0.02433060528490627,-0.02397881377276878,0.0004558853106573224,0.00017158460104838014,0.00037975225131958723,0.01571030542254448,0.009762878529727459,0.013199064880609512,0.02983785318792798,0.01688275529304519,0.02377443123841658
"ma_50_gap,rolling_max_20_gap",2,-0.021129488420174702,0.024144055017407462,-0.04352704892645454,0.00045698959729634225,0.0001706546900095418,0.00038273062091320753,0.015722639858722687,0.009764064103364944,0.013403652235865593,0.03025567650329322,0.016885983315296473,0.024228296265937387
"range_pct,ma_50_gap",2,-0.023432641449175007,0.023682007643180736,-0.03255517897209481,0.00045417144428938627,0.00017234624829143286,0.00038426584796980023,0.01568109355866909,0.009880526922643185,0.013409078121185303,0.03032391804736108,0.016893978475127372,0.023973554698750375
"return_3,ma_10_gap",2,-0.01812227056769733,0.02322712329868193,-0.030503229229895013,0.00045273295836523175,0.0001700385328149423,0.0003829352499451488,0.01566496305167675,0.009825954213738441,0.013402522541582584,0.030166573787573737,0.01690184968756512,0.023925913148559626
"close_low_gap,ma_10_gap",2,-0.023166279128695733,0.02316894579960449,-0.02858090039164285,0.00045405267155729234,0.000167998528922908,0.0003854876267723739,0.01566672883927822,0.009815206751227379,0.013524582609534264,0.030316025833599276,0.016902856377419086,0.02388128109741956
"return_10,ma_5_gap",2,-0.013128564086114292,0.022959354352232286,-0.032422465134898104,0.00045406437129713595,0.00016844048514030874,0.00037832651287317276,0.015646014362573624,0.00977415032684803,0.013386467471718788,0.03001862377859653,0.016906483098864555,0.02397047338890843
"close_position,ma_cross_5_20",2,-0.018528109761940303,0.022762964758184512,-0.025932619061068918,0.0004556885687634349,0.00016886160301510245,0.00037217908538877964,0.015651704743504524,0.009786894544959068,0.013312081806361675,0.030178600165527314,0.016909881378524005,0.023601802659686658
"range_pct,close_low_gap",2,-0.004862190069111483,0.022434196023776942,-0.015944574313266457,0.0004543103859759867,0.00017224354087375104,0.00038205261807888746,0.01563497819006443,0.00989021360874176,0.013376027345657349,0.0297985793906264,0.016915570315904918,0.023587894689990202
"range_pct,atr_14",2,-0.013834642381981732,0.022342843006673996,-0.07454167938871659,0.00045342979137785733,0.00017140540876425803,0.00042102739098481834,0.015658896416425705,0.009869261644780636,0.014123606495559216,0.030039516196120535,0.01691715106717311,0.024948384601157156
"momentum_5,ma_20_gap",2,-0.014660485389468292,0.02168414399274554,-0.031166129287335753,0.00045373401371762156,0.00016944724484346807,0.00038495028275065124,0.015665920451283455,0.009785789065063,0.013488205149769783,0.03006399013102055,0.01692854904104024,0.023941304162144662
"return_10,ma_10_gap",2,-0.016050172599837875,0.021442103960156778,-0.031021736913253717,0.00045461137779057026,0.0001684401067905128,0.0003778182726819068,0.015640459954738617,0.009766653180122375,0.013365007005631924,0.030105189955793324,0.016932737245224417,0.02393795170355588
"close_low_gap,volatility_20",2,-0.008600513805352206,0.020554321540671716,-0.0263338684663581,0.00045629849773831666,0.00016998186765704304,0.00039254018338397145,0.015646591782569885,0.009738548658788204,0.013527190312743187,0.02988442739006132,0.016948099224828185,0.023829110187944022
"close_low_gap,ma_20_gap",2,-0.024765386686993907,0.020529438977087477,-0.04134966503440163,0.00045356544433161616,0.0001675923849688843,0.0003870553628075868,0.015662960708141327,0.00982308853417635,0.013551357202231884,0.030363394372398034,0.016948529786895962,0.02417774242348969
"overnight_return,ma_50_gap",2,-0.01631283822191132,0.02051327086114718,-0.05171927718128422,0.0004560973902698606,0.0001688024349277839,0.0003770334296859801,0.015711279585957527,0.009814084507524967,0.013411871157586575,0.030112960998667407,0.016948809556197375,0.024418500950559974
"gap_open,ma_50_gap",2,-0.01631283822191132,0.02051327086114718,-0.05171927718128422,0.0004560973902698606,0.0001688024349277839,0.0003770334296859801,0.015711279585957527,0.009814084507524967,0.013411871157586575,0.030112960998667407,0.016948809556197375,0.024418500950559974
"volatility_5,rolling_min_20_gap",2,-0.007469905221249906,0.020138355517030915,-0.03958551101372465,0.0004557090869639069,0.00016855749709066004,0.0003865207254420966,0.015712520107626915,0.0098333191126585,0.013476197607815266,0.029850936075672515,0.016955297003732994,0.02413678282755427
"momentum_20,atr_gap",2,-0.011646574049595904,0.019716833049083893,-0.022747669900366363,0.0004541482194326818,0.00016765150940045714,0.00038982517435215414,0.015643520280718803,0.00974347349256277,0.013398827984929085,0.02997468092944473,0.01696259093005211,0.023745846911333496
"intraday_return,momentum_5",2,-0.014981909405325844,0.019679643085826592,-0.0036619956122576625,0.00045513868099078536,0.00016856292495504022,0.00038016270264051855,0.01566402055323124,0.00982561707496643,0.013472124002873898,0.03007352306158282,0.016963234456488865,0.023302721482468768
"body_pct,momentum_5",2,-0.014981909405325844,0.019679643085826592,-0.0036619956122576625,0.00045513868099078536,0.00016856292495504022,0.00038016270264051855,0.01566402055323124,0.00982561707496643,0.013472124002873898,0.03007352306158282,0.016963234456488865,0.023302721482468768
