features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volatility_20,obv_change",2,-0.005713185228644724,0.03916182336539664,0.028991625155627254,0.0006726887077093124,0.00040110351983457804,0.0006721968529745936,0.019041527062654495,0.013989799655973911,0.01894518919289112,0.03679405394359492,0.024368903794675136,0.033047302250633945
"volatility_20,vwap_gap",2,-0.004165943949451689,0.03329586098547854,0.02265172687321393,0.0006808411562815309,0.000401464756578207,0.0006440535071305931,0.019162653014063835,0.01400987058877945,0.018566478043794632,0.03673744806437754,0.02451767710153945,0.03212974424241111
volatility_20,1,-0.004165971315059469,0.03329577377312609,0.029199476715744854,0.0006808411562815309,0.00040146472747437656,0.0006730046588927507,0.019162654876708984,0.01400987058877945,0.018946966156363487,0.03673744906554931,0.024517679313430563,0.033040228229947385
"upper_shadow,volatility_20",2,-0.005433297111366198,0.030125629549710098,0.0030710409528825755,0.0006722286925651133,0.00039802127867005765,0.0006700385129079223,0.019113201647996902,0.014010109007358551,0.01892923191189766,0.03678381422651,0.024598080926807597,0.033929483499377966
"momentum_20,volatility_ratio",2,-0.012380743799866423,0.02484675582479101,0.0020040322413367173,0.000673559436108917,0.00041126637370325625,0.0006588079850189388,0.019146863371133804,0.014254529029130936,0.01907208375632763,0.03703798681963237,0.024731964414240793,0.033965798077406364
"high_close_gap,volatility_20",2,-0.01882026301164519,0.02233050159047978,0.006159882495638258,0.0006733816699124873,0.0004050199349876493,0.0006666844710707664,0.019121794030070305,0.014012130908668041,0.01883426122367382,0.03727357686730102,0.024795781983993948,0.03382435785606503
"close_position,volatility_20",2,-0.009649282522164127,0.01820171861561315,-0.013155429056284085,0.0006691492744721472,0.00039949201163835824,0.0006144137587398291,0.01904752291738987,0.014034105464816093,0.018356287851929665,0.03671803176112014,0.024900496719055813,0.03314861030958128
"atr_14,volatility_5",2,-0.01694230937432928,0.01614556817909374,0.008537494184228445,0.0006766612059436738,0.00040995251038111746,0.000664890103507787,0.01914539560675621,0.014332542195916176,0.018917227163910866,0.03724945741705596,0.024952645075973126,0.033743438211968166
"momentum_20,volatility_10",2,-0.011022140973549144,0.01591827190365136,-0.024738690624401594,0.0006727462168782949,0.00041236955439671874,0.0006630868301726878,0.019100308418273926,0.014205627143383026,0.018947118893265724,0.03698828228516505,0.024958409793907777,0.034875959996134034
"upper_shadow,obv_change",2,-0.0201481692586003,0.01570668601547065,-0.006600938885887642,0.0006746622966602445,0.00038874353049322963,0.0006619013729505241,0.01907823607325554,0.013644897378981113,0.01878407970070839,0.037380423687864095,0.02496377606294118,0.03425865969329607
