features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
vwap_gap,1,0.005376357927663333,0.10026664397593188,0.05623287197863247,0.000198421097593382,2.2597803763346747e-05,5.6602220865897834e-05,0.00913306511938572,0.0025590737350285053,0.0028151508886367083,0.01684752641012892,0.003687711537349971,0.0038232863298617303
"vwap_gap,obv_change",2,0.000540437861686005,0.09718298772112244,0.0535550203808457,0.0001946991542354226,2.2597083443542942e-05,5.658824011334218e-05,0.009086406789720058,0.0025594541803002357,0.0028148971032351255,0.016929440098465417,0.0037003504316089697,0.003834134549833834
obv_change,1,0.0005404457653891415,0.09718297422961009,0.10990020017675695,0.0001946991542354226,2.2597083443542942e-05,5.683556810254231e-05,0.009086406789720058,0.0025594541803002357,0.002867814851924777,0.016929439964587796,0.0037003504869062478,0.003873824649781454
"volume_change,vwap_gap",2,-0.0021857747522040505,0.01646956831205526,0.0003182455158763364,0.0001938638015417382,2.2609587176702917e-05,5.633007094729692e-05,0.009023996070027351,0.002617679303511977,0.0028533407021313906,0.0169756183080608,0.004031168229994364,0.004049801558721811
volume_change,1,-0.0021857563675033997,0.016469444758205998,0.055941817134712024,0.0001938638015417382,2.2609587176702917e-05,5.666233482770622e-05,0.009023996070027351,0.002617679303511977,0.0029056952334940434,0.016975617996649813,0.004031168736401015,0.004108658220502548
"volume_change,obv_change",2,-0.0028818129879168985,0.011149966571726178,0.05104124347389161,0.00018996863218490034,2.263371425215155e-05,5.6639673857716843e-05,0.008982114493846893,0.0026212010998278856,0.0029053871985524893,0.01698740821739193,0.00405297153047286,0.004129986124462448
ma_cross_5_20,1,-0.003074670875091501,0.006875971232665812,0.07292566416633972,0.00019016784790437669,2.2836091375211254e-05,5.723650610889308e-05,0.009045236743986607,0.002519305795431137,0.0029343797359615564,0.016935120220296085,0.004070489233708941,0.004034742413205094
"ma_cross_5_20,vwap_gap",2,-0.003074566066059159,0.006875855844732048,0.05577677610927223,0.00019016784790437669,2.2836091375211254e-05,5.680605681845918e-05,0.009045236743986607,0.002519305795431137,0.002869300078600645,0.016935118450783194,0.004070489706646186,0.0038251340156421065
"ma_cross_5_20,obv_change",2,-0.004278511212078673,0.006261163729335384,0.06604593459421271,0.00018613912106957287,2.3068290829542093e-05,5.720260014641099e-05,0.008994998410344124,0.0025281652342528105,0.0029329408425837755,0.016955444909399375,0.004073009127750994,0.00406468384899199
rolling_min_20_gap,1,-0.02572943418137852,-0.0013922786195068593,0.023183970023907263,0.0001823896454880014,2.4023356672842056e-05,5.7902718253899366e-05,0.008928134106099606,0.0025825821794569492,0.0030366163700819016,0.017317605344578622,0.004104378074407578,0.004251224431209266
"rolling_min_20_gap,vwap_gap",2,-0.02572941763258374,-0.0013927969776093008,-0.0326162212536969,0.0001823896454880014,2.4023354853852652e-05,5.7598637795308605e-05,0.008928134106099606,0.0025825821794569492,0.0029733492992818356,0.017317605065181846,0.004104380198987201,0.004183222074061632
volatility_5,1,-0.029328197364654418,-0.006260117072014237,-0.05416262933850158,0.00019440313917584717,2.3077063815435395e-05,5.6022516218945384e-05,0.009159090928733349,0.002644919091835618,0.0031746411696076393,0.017436774465022613,0.004124329745536671,0.00458784641814418
"volatility_5,vwap_gap",2,-0.029328243408614396,-0.006260443708626884,-0.06442787002524963,0.00019440311007201672,2.3077063815435395e-05,5.644468910759315e-05,0.009159091860055923,0.0026449193246662617,0.003094604704529047,0.01743677524500527,0.004124331084312872,0.004312093951739371
"volume_change,upper_shadow",2,-0.046531212627855645,-0.012288534818019503,0.029765176493119605,0.00019025449000764638,2.4019529519136995e-05,5.890234388061799e-05,0.009077413938939571,0.0026574612129479647,0.0030290645081549883,0.017726767691783607,0.004149038250034212,0.004222582204965873
"volatility_20,obv_change",2,-0.015522552719012817,-0.015295658339329332,0.049891454898638776,0.00018314104818273336,2.3663520551053807e-05,5.9771387896034867e-05,0.008939054794609547,0.0026468620635569096,0.00315043400041759,0.017107619688613344,0.004161363461753354,0.004134990146849303
"rolling_min_20_gap,obv_change",2,-0.030507398356503845,-0.023020073853502687,0.021584802883335974,0.00017757325258571655,2.4050097636063583e-05,5.808054993394762e-05,0.008883790113031864,0.002602654043585062,0.003066660137847066,0.01739827271667309,0.004193023304105737,0.004258184204809367
"high_close_gap,ma_cross_5_20",2,-0.03954499708537118,-0.023961341869556785,-0.03614294682871022,0.00018295811605639756,2.5169347281917e-05,5.836729542352259e-05,0.008910853415727615,0.002744905883446336,0.0032158757094293833,0.01755085639306344,0.004196881252573803,0.004509422526462003
"upper_shadow,obv_change",2,-0.00918275520636569,-0.025287480835519682,0.00012168023825831487,0.0001910950377350673,2.4130971723934636e-05,5.935056469752453e-05,0.009129893034696579,0.0026233356911689043,0.003047636477276683,0.017094137321691957,0.004202316660666843,0.0043515943747479465
"upper_shadow,vwap_gap",2,-0.03473029770673497,-0.025970759183696845,-0.07338213701382568,0.0001946254342328757,2.4393930289079435e-05,5.950041304458864e-05,0.009193839505314827,0.002633103635162115,0.0030099391005933285,0.017526876780902964,0.0042051171942148365,0.004348368500359356
upper_shadow,1,-0.034730181213024736,-0.0259712335168647,0.002731007750277903,0.0001946254342328757,2.439392847009003e-05,5.956127279205248e-05,0.009193839505314827,0.002633103635162115,0.0030483363661915064,0.01752687480766326,0.004205119138350711,0.0043402382580097765
"price_acceleration,vwap_gap",2,0.004154595433065844,-0.028055915007312304,0.008230423317256541,0.000187502198969014,2.3291016987059265e-05,5.709955075872131e-05,0.009007500484585762,0.002623027889057994,0.0029127339366823435,0.016776135994587098,0.0042136635631322885,0.004017748608021066
price_acceleration,1,0.004154444092887011,-0.02805614436302073,0.0694385976151577,0.000187502198969014,2.3291016987059265e-05,5.7212546380469576e-05,0.009007500484585762,0.002623027889057994,0.002950588008388877,0.016776138544082643,0.004213664503186013,0.0040499185590306295
"price_acceleration,obv_change",2,-0.0026182327803569994,-0.031237700001300883,0.08936130681036891,0.00018354809435550123,2.3178077753982507e-05,5.737489482271485e-05,0.008946157060563564,0.002641982166096568,0.0029662379529327154,0.016890231904108082,0.004226704654865899,0.003963212459348142
"price_acceleration,volatility_20",2,-0.01623991242381928,-0.03623379658016912,-0.04904221433183875,0.00018314330372959375,2.3901526219560765e-05,5.949453407083638e-05,0.009014798328280449,0.002716660499572754,0.0032257968559861183,0.017119704419746994,0.004247182013932616,0.004565561737399549
"price_acceleration,rolling_max_20_gap",2,-0.018679869237441693,-0.038040697774423204,0.01980929107976892,0.00018336065113544464,2.4490571377100423e-05,5.7846678828354925e-05,0.00895669125020504,0.0027631977573037148,0.0030901653226464987,0.017160808236803868,0.004254587908508257,0.004265911452239377
"volume_change,ma_cross_5_20",2,-0.010653475952113522,-0.03840344264423434,0.01922040401278924,0.00018550455570220947,2.2695343432133086e-05,5.69064577575773e-05,0.008938509039580822,0.002570569748058915,0.002960826735943556,0.017063074777252038,0.004256074680597521,0.004268474361742846
"volume_ratio_20,price_acceleration",2,-0.0008658855784877684,-0.03892614927404425,-0.015655657457672056,0.00018576723232399672,2.41721972997766e-05,5.8214667660649866e-05,0.00904685165733099,0.0027139491867274046,0.0031382280867546797,0.01686071164440364,0.004258217083406636,0.0044202593038789924
volatility_10,1,-0.021574129057535085,-0.03918771561282686,-0.10144493326906545,0.00019003798661287874,2.3173608497017995e-05,5.854725168319419e-05,0.009086064994335175,0.0026931138709187508,0.003223992418497801,0.017302377073792743,0.004259289157926106,0.004793624865124002
"volatility_10,vwap_gap",2,-0.021574121496748866,-0.03918797692211662,-0.1750592229199992,0.00019003798661287874,2.31736121349968e-05,5.862609395990148e-05,0.009086064994335175,0.0026931138709187508,0.0031280473340302706,0.017302376945735887,0.004259290228947066,0.004760271607665345
"volume_ratio_20,obv_change",2,0.01156685115731726,-0.040487211682405766,0.06818722605595906,0.00018859356350731105,2.3702661565039307e-05,5.7840785302687436e-05,0.009061108343303204,0.0026341862976551056,0.003041965886950493,0.016687924330472014,0.004264615365536885,0.004055364683154039
"volume_ratio_5,ma_cross_5_20",2,-0.0062368826324628035,-0.04199749203864345,-0.03328611273240378,0.0001877287431852892,2.3746928491164e-05,5.837467688252218e-05,0.009107389487326145,0.0026472106110304594,0.0031342364381998777,0.016988508505164646,0.004270805508713239,0.0044969892303925
"high_close_gap,obv_change",2,-0.016819605199502874,-0.04583532169820681,-0.025683578818579633,0.0001860957418102771,2.511247294023633e-05,5.777154001407325e-05,0.009006819687783718,0.0027622513007372618,0.0032055231276899576,0.0172234948258847,0.004286535512073898,0.00446390206052456
"upper_shadow,volatility_5",2,-0.03263255141315957,-0.04592820720967694,-0.10590989946090024,0.00019044079817831516,2.430709355394356e-05,5.818819408887066e-05,0.00917357299476862,0.0027359300293028355,0.00330519862473011,0.01749275007750839,0.004286916219280103,0.0048130569513887165
"volatility_5,obv_change",2,-0.019675711044569333,-0.04601209033207554,-0.06503004122568656,0.00019045401131734252,2.326304093003273e-05,5.66703274671454e-05,0.009107130579650402,0.002652479335665703,0.003230554284527898,0.017273261770606046,0.004287260028650054,0.004635142741608432
"volatility_20,vwap_gap",2,-0.007612492551022365,-0.04603578355783222,-0.04085744241759115,0.000187797995749861,2.3591193894390017e-05,5.9734611568273976e-05,0.009048215113580227,0.002645710948854685,0.0030981223098933697,0.016974365827627482,0.0042873571394011385,0.004216608009301126
volatility_20,1,-0.007612294219372151,-0.0460363487811879,0.018578944299314948,0.00018779801030177623,2.359119025641121e-05,5.9547230193857104e-05,0.009048215113580227,0.002645710948854685,0.003167537972331047,0.016974362486507744,0.004287359456066044,0.004271266073919831
"rolling_max_20_gap,obv_change",2,-0.012343955486037395,-0.04654453854381191,0.023308650171755207,0.000183766707777977,2.4268785637104884e-05,5.706817682948895e-05,0.008978448808193207,0.0027210330590605736,0.003093710169196129,0.017091615498065947,0.004289442359004169,0.004250681807752696
"volume_change,volume_ratio_20",2,0.003266026310509318,-0.05049315766168627,0.033121002684001644,0.00018732613534666598,2.373726420046296e-05,5.7942634157370776e-05,0.00895621720701456,0.002663626801222563,0.003066411241889,0.016828068898757917,0.004305626451969148,0.004207977233454585
volume_ratio_20,1,-0.003368755193770223,-0.051411049857561286,0.05854334929540128,0.00019256147788837552,2.361850238230545e-05,5.7796016335487366e-05,0.009105095639824867,0.002626066794618964,0.003033572807908058,0.016940085307578553,0.00430938859062735,0.004097336030099541
"volume_ratio_20,vwap_gap",2,-0.003368742782174472,-0.05141106831963094,-0.0009140021561209188,0.00019256147788837552,2.3618500563316047e-05,5.756260725320317e-05,0.009105095639824867,0.002626066794618964,0.0029707769863307476,0.016940085098030976,0.00430938866629731,0.0040547935059294105
"volume_ratio_5,obv_change",2,0.0038802920913949546,-0.052215890991624825,-0.015147326255348537,0.00019231635087635368,2.365549335081596e-05,5.8016452385345474e-05,0.009177334606647491,0.002707586856558919,0.003042924916371703,0.016872867662459608,0.004312687370111236,0.00441804698348278
"volume_ratio_5,vwap_gap",2,-0.004593437376928966,-0.05231126604214542,-0.06239939790689886,0.00019586663984227926,2.367402339586988e-05,5.7832028687698767e-05,0.00922692846506834,0.0027003136929124594,0.0029842876829206944,0.01701640072860755,0.0043130782811203975,0.004303876427002251
volume_ratio_5,1,-0.004593318821383141,-0.052311840674055254,-0.009564635278937805,0.00019586663984227926,2.3674027033848688e-05,5.811012670164928e-05,0.00922692846506834,0.0027003141585737467,0.0030486206524074078,0.01701639872044325,0.004313080636347877,0.0043937504204222926
"rolling_max_20_gap,rolling_min_20_gap",2,-0.0415394671153555,-0.05429851183109502,0.03464951546712092,0.00017815656610764563,2.4666416720720008e-05,5.900524411117658e-05,0.008845074102282524,0.0026562241837382317,0.003141433699056506,0.017584529449231924,0.004321223348961212,0.004201324956375174
"volume_change,volatility_5",2,-0.022844947375149083,-0.05459582002615648,-0.08275076361943023,0.00018978441949002445,2.311112439201679e-05,5.571855217567645e-05,0.009046823717653751,0.002690782304853201,0.003195717930793762,0.017326948494883258,0.004322441917611286,0.004712265521811787
"volume_ratio_20,volatility_20",2,-0.01327125802382123,-0.05467055022261058,-0.1078112188861371,0.0001861756172729656,2.427791514492128e-05,6.027147901477292e-05,0.009075002744793892,0.0027170272078365088,0.003311301814392209,0.017069694097153844,0.0043227482121437795,0.0048213317291811095
"upper_shadow,ma_cross_5_20",2,-0.021348243560039393,-0.05476772674505703,-0.05510265762833111,0.0001857372117228806,2.4354949346161447e-05,6.03232292633038e-05,0.009072946384549141,0.002668181899935007,0.0032382516656070948,0.017243636783678084,0.004323146506794729,0.004591937537770718
"volume_change,volatility_20",2,-0.02163776189950095,-0.05477200497460055,-0.016082170238651106,0.0001832212001318112,2.3558575776405632e-05,5.9459889598656446e-05,0.00893788505345583,0.002699857810512185,0.003208096604794264,0.017210637265816335,0.004323164041852579,0.004422115540364757
"volume_change,rolling_min_20_gap",2,-0.02894426731304245,-0.05524249661166958,-0.02833608336191107,0.00017811272118706256,2.3944665372255258e-05,5.757049802923575e-05,0.008834297768771648,0.0026352987624704838,0.0030488884076476097,0.017371882047154934,0.004325092432554812,0.004475446089054456
"volatility_10,obv_change",2,-0.019185410093262023,-0.0571593110260169,-0.08203172253925928,0.00018608981918077916,2.3203290766105056e-05,5.8975077990908176e-05,0.009018252603709698,0.002695756498724222,0.0032466028351336718,0.017261919396696614,0.004332948825322092,0.004709136165911331
"upper_shadow,volatility_20",2,-0.020690482946717825,-0.05838544167211834,-0.12403236264480055,0.00018295965855941176,2.478438000252936e-05,6.195387686602771e-05,0.009089977480471134,0.002834736369550228,0.003437706036493182,0.017194679286330946,0.004337974332156592,0.004891928157303481
"ma_cross_5_20,rolling_min_20_gap",2,-0.04139962842219291,-0.05904052915040214,0.004285477174204355,0.00017927460430655628,2.3660579245188273e-05,5.807301931781694e-05,0.008858715184032917,0.002630216535180807,0.0030808430165052414,0.017582168523222207,0.004340659320587293,0.004333473014412448
"return_10,price_acceleration",2,-0.022700565237739667,-0.059425304239564936,-0.005152711848721125,0.0001801249454729259,2.4672654035384767e-05,5.727029565605335e-05,0.008958166465163231,0.0027402606792747974,0.0031215883791446686,0.01722854138351977,0.00434223638731055,0.004374549182830378
"high_close_gap,vwap_gap",2,-0.02690779694506551,-0.05950225627506334,-0.032137466430048,0.0001906299585243687,2.4914170353440568e-05,5.7907636801246554e-05,0.009050966240465641,0.002734340727329254,0.0031275618821382523,0.017394374613650142,0.0043425517884315935,0.004181282594799995
high_close_gap,1,-0.026907836807220198,-0.05950234858541026,0.007735603911357081,0.0001906299585243687,2.491417217242997e-05,5.766339018009603e-05,0.009050966240465641,0.002734340727329254,0.0031606557313352823,0.01739437528885901,0.0043425521667813894,0.004318457635235971
"momentum_5,volatility_5",2,-0.03478934480893958,-0.06338967931351247,-0.17928090174366673,0.00018525667837820947,2.4142571419361047e-05,5.727304596803151e-05,0.00906513910740614,0.0027143468614667654,0.0033407893497496843,0.017529286062926988,0.0043584850587649274,0.005132376647088675
"rolling_max_20_gap,vwap_gap",2,-0.016910138014133436,-0.06396320349942552,-0.02573157027415318,0.0001879225019365549,2.4083867174340412e-05,5.672797851730138e-05,0.009011747315526009,0.002698655705899,0.0029938179068267345,0.01716870731615927,0.004360835746047087,0.004155331727815792
rolling_max_20_gap,1,-0.016910326429054878,-0.06396339025035847,0.022353856388455662,0.0001879225019365549,2.4083867174340412e-05,5.714994767913595e-05,0.009011746384203434,0.002698655705899,0.0030691700521856546,0.017168710497207938,0.004360836511477829,0.004254837188636883
"adjust_return,ma_20_gap",2,-0.06224549195114615,-0.06437127558993239,-0.006444383575422652,0.00017544429283589125,2.4969966034404933e-05,5.799493010272272e-05,0.008813586086034775,0.00270650302991271,0.0031821385491639376,0.017934113612864164,0.00436250829952769,0.004380170698277652
"close_return,ma_cross_5_20",2,-0.03253996578018192,-0.06446748782429235,-0.010802467121366677,0.00018044959870167077,2.5100198399741203e-05,5.824321124237031e-05,0.008887172676622868,0.0027271911967545748,0.0032014804892241955,0.017432588979136198,0.004362902641878464,0.004399137618020177
"volume_change,price_acceleration",2,-0.007155623501414521,-0.06454919739305942,0.031756636982317454,0.00018306261335965246,2.3219648937811144e-05,5.6910164857981727e-05,0.008898957632482052,0.0026640400756150484,0.0029775050934404135,0.0169666693545878,0.004363237542565913,0.004213915122090838
"ma_5_gap,ma_cross_5_20",2,-0.04075855363336878,-0.06567851436738614,-0.03379561454144442,0.00017957206000573933,2.513199251552578e-05,5.844299812451936e-05,0.008873917162418365,0.002740428550168872,0.0032251086086034775,0.017571345122996712,0.0043678662419552,0.004499206645414233
"volume_ratio_5,price_acceleration",2,0.0018937134411883827,-0.06582468141114428,-0.020763066391758622,0.00018504094623494893,2.4228984329965897e-05,5.844998304382898e-05,0.009062709286808968,0.00275112921372056,0.0031344338785856962,0.01681422309484333,0.004368465332663618,0.00444248738058377
"momentum_20,ma_50_gap",2,-0.06506122075482312,-0.06587639437761372,-0.041132966746076915,0.00017084421415347606,2.5475852453382686e-05,5.871528628631495e-05,0.008767867460846901,0.0027968897484242916,0.003154696896672249,0.01741955284960568,0.004368677287129686,0.004531139711616561
"high_close_gap,rolling_max_20_gap",2,-0.03812884588469467,-0.06723680107462093,-0.07793458364785888,0.0001829438260756433,2.5471985281910747e-05,5.888539453735575e-05,0.00894361361861229,0.0028145923279225826,0.0032905826810747385,0.01752694721508305,0.004374253147398123,0.004691304909647441
"ma_50_gap,obv_change",2,-0.0833168026438249,-0.06734603794390281,-0.043977213058582265,0.00017005557310767472,2.490878432581667e-05,5.903211786062457e-05,0.008695222437381744,0.0026904563419520855,0.0031176405027508736,0.017718131060246375,0.004374700873449911,0.004543518224090803
"ma_10_gap,ma_cross_5_20",2,-0.04554090358382146,-0.06894071871552265,-0.030681312502575775,0.0001791638060240075,2.5083543732762337e-05,5.849680383107625e-05,0.008855648338794708,0.002729494357481599,0.0032200319692492485,0.017652086541056634,0.0043812369462102665,0.004485652816947549
"volatility_5,volatility_20",2,-0.038864023229089106,-0.06972046066623627,-0.2422824751246917,0.0001827452942961827,2.4107348508550785e-05,6.028405550750904e-05,0.00910067930817604,0.002783926436677575,0.003556255716830492,0.017500833014491946,0.004384432852384635,0.005406567302998153
"volume_ratio_5,volume_ratio_20",2,-0.011832596010065366,-0.06987309795524022,-0.12186092095485779,0.00018706644186750054,2.37285639741458e-05,6.037018101778813e-05,0.009264017455279827,0.002759377472102642,0.003278037765994668,0.017082982108695424,0.004385058462503367,0.004882477773935533
"volume_ratio_20,ma_cross_5_20",2,-0.004859115326486307,-0.07136400734019976,0.011737173012528634,0.00018832326168194413,2.372993367316667e-05,5.825107291457243e-05,0.009090634994208813,0.0026307415682822466,0.003144759451970458,0.016965247370535508,0.004391169210430236,0.00430104231054429
"ma_5_gap,ma_20_gap",2,-0.04484144723351191,-0.07223896599368529,-0.042898306542345166,0.00017892751202452928,2.5081038984353654e-05,5.84977533435449e-05,0.008869925513863564,0.002731777261942625,0.003220359794795513,0.01764027747267391,0.004394755378598349,0.0045388226892100645
"momentum_20,rolling_min_20_gap",2,-0.054222719798017405,-0.07240674146951775,0.00018778591425316904,0.0001776881836121902,2.3888569558039308e-05,5.8570913097355515e-05,0.008920524269342422,0.0026860013604164124,0.003132313722744584,0.017759567534085363,0.004395443035173232,0.004351306674652732
"volume_ratio_20,upper_shadow",2,-0.03639449015249063,-0.07360943735883341,-0.06223672550038306,0.00018855382222682238,2.4748955183895305e-05,6.024734102538787e-05,0.00918980035930872,0.0027582417242228985,0.0032398481853306293,0.017497665723203677,0.004400372490636073,0.004622985885362141
