features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volume_ratio_5,return_3",2,-0.009842714285920984,0.06956497589863475,-0.05857825354545909,0.0005615485715679824,0.0003536972508300096,0.00042274780571460724,0.017010707408189774,0.012905459851026535,0.015081417746841908,0.03229299827944487,0.021843448455911137,0.02874970999546349
"volume_ratio_5,volatility_ratio",2,-0.027626260792180224,0.06401662429586041,-0.037051875902153864,0.0005645169876515865,0.0003598620824050158,0.00043508518137969077,0.01697320118546486,0.013181867077946663,0.015292083844542503,0.032826898561324924,0.02197370487265289,0.028165079513564704
"close_low_gap,volatility_10",2,-0.030394481661889294,0.05954960050170188,-0.04204101732568999,0.0005655649583786726,0.00034686035360209644,0.0004342717584222555,0.016887890174984932,0.012651779688894749,0.015245484188199043,0.03289261998434085,0.022078575391788036,0.028300578583730383
"volatility_ratio,ma_20_gap",2,-0.03862746289600416,0.054879099546332966,-0.05939071336860313,0.0005588742787949741,0.00035215847310610116,0.0004286671173758805,0.017034221440553665,0.012884258292615414,0.015163271687924862,0.03317832530010491,0.022188222862314436,0.028771775425411747
"volatility_10,ma_20_gap",2,-0.03605380335268893,0.05479863289958464,-0.05258953315772552,0.0005608478677459061,0.0003383575822226703,0.0004271625366527587,0.017003202810883522,0.01249856036156416,0.015055758878588676,0.03308169366791845,0.022190111945383256,0.028587063564918934
"volume_zscore_20,volatility_ratio",2,-0.0338876009236293,0.054749918571845524,-0.05838308505941692,0.0005609964719042182,0.0003630656283348799,0.0004467129474505782,0.016958508640527725,0.01324706245213747,0.015488922595977783,0.033026913279900316,0.02219125559204258,0.02874440945452079
"volatility_ratio,ma_50_gap",2,-0.030917065859050963,0.05451367601252233,-0.05194531958320159,0.0005636349669657648,0.0003556889423634857,0.0004305618058424443,0.017040245234966278,0.012929216027259827,0.015158060006797314,0.03312544723739848,0.02219680176349357,0.02856956750038079
"close_low_gap,rolling_max_20_gap",2,-0.019537008539064926,0.05219308704076164,-0.03823996968156784,0.0005600620643235743,0.0003445305919740349,0.00043070208630524576,0.016949566081166267,0.012646154500544071,0.01514620240777731,0.03255430450662972,0.022251281296485105,0.028197346709202972
"signed_volume,obv_change",2,-0.0310786162846457,0.051125337988082276,-0.023973986126991864,0.0005643591866828501,0.0003425142203923315,0.00042800360824912786,0.016772186383605003,0.012458916753530502,0.01506054773926735,0.03296599496388808,0.022276348411105575,0.02780989978346042
"volatility_ratio,ma_10_gap",2,-0.034234564518179855,0.05060817499001147,-0.06687548136827615,0.000558712927158922,0.0003515991847962141,0.00042845241841860116,0.017060354351997375,0.01289411261677742,0.015190434642136097,0.03303799682180397,0.022288489638594915,0.02897505270666442
