features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volume_ratio_20,volatility_20",2,0.0014195107151740993,0.0005105540272603015,0.007399963162210366,0.0008576700347475708,0.00041248093475587666,0.0005645925411954522,0.021737435832619667,0.014986243098974228,0.01714801788330078,0.043425260158255694,0.026200834644259888,0.031280460290145126
volume_ratio_20,1,0.007607581771221783,0.00027448322783707457,-0.022846932962167443,0.0008632562239654362,0.00041474305908195674,0.0005657317815348506,0.021762313321232796,0.014960061758756638,0.017138667404651642,0.04312262879102491,0.026207023055758328,0.03223365069716237
"volume_ratio_20,vwap_gap",2,0.007607660804567873,0.0002744343776855951,-0.022434535080774864,0.0008632562239654362,0.00041474305908195674,0.0005677211447618902,0.021762313321232796,0.014960061758756638,0.01722712814807892,0.043122625356772915,0.026207024336326868,0.03240030538290739
"volume_change,volume_ratio_20",2,-0.0008689860392496751,-0.0024937409455576542,-0.01758076589355584,0.0008570177014917135,0.00041590590262785554,0.0005673367995768785,0.02172861061990261,0.014972943812608719,0.017150938510894775,0.04349096280930098,0.02627958988887258,0.032067694497527555
volume_ratio_5,1,0.00852874501835843,-0.0026456276128368206,-0.03352852775032189,0.000857673236168921,0.00042035779915750027,0.0005724693182855844,0.02175755612552166,0.014993236400187016,0.01729249395430088,0.04294871864840388,0.026283571479143574,0.03257026684586889
"volume_ratio_5,vwap_gap",2,0.008528723518774872,-0.0026456691354654893,-0.04267169548254879,0.000857673236168921,0.00042035779915750027,0.0005737784085795283,0.02175755612552166,0.014993236400187016,0.01739663816988468,0.04294871957972646,0.026283572567626833,0.03304160822881386
"volume_ratio_5,volatility_20",2,0.008459200078304252,-0.0035240792361961315,-0.0059817355933284855,0.0008548508631065488,0.00041897932533174753,0.0005705918883904815,0.02177269011735916,0.015057949349284172,0.01731058582663536,0.043119125254452224,0.026306599401868882,0.031702166597824544
"volume_ratio_5,volatility_ratio",2,0.011072219878680012,-0.0057851158239043965,-0.010808118114986387,0.0008569966885261238,0.0004285277391318232,0.0005751828430220485,0.02179020084440708,0.015193822793662548,0.017377657815814018,0.043005492887459695,0.02636587070883252,0.03185426357667892
"volume_ratio_5,volume_ratio_20",2,0.013997020571453023,-0.00650845922351917,-0.017955685527920373,0.0008546945173293352,0.0004198584065306932,0.0005725292721763253,0.021740686148405075,0.0149636035785079,0.017330382019281387,0.04284498721244745,0.026384832590701995,0.03207950958749279
"volume_ratio_5,obv_change",2,0.010668266662085868,-0.0071369204188433955,-0.0302658316422868,0.0008527692407369614,0.0004201557603664696,0.0005714901490136981,0.021650396287441254,0.014977843500673771,0.01725437492132187,0.04285603848984465,0.026401307209744117,0.03246744734933599
"volume_ratio_20,volatility_5",2,0.00865388950368795,-0.0076891173128288415,-0.009647556330565799,0.0008554952219128609,0.0004183537675999105,0.0005707726813852787,0.021716957911849022,0.015140118077397346,0.0172130074352026,0.04307716336916201,0.02641578261973337,0.03181769002694636
"volume_ratio_5,return_10",2,-0.013028843439469417,-0.008107147154814198,-0.07198628331673662,0.0008292641141451895,0.000441098352894187,0.0005908068851567805,0.021684061735868454,0.015481614507734776,0.01780402660369873,0.04391175651689991,0.026426740945316853,0.03378221148741431
"volume_change,volume_ratio_5",2,0.005939118844731084,-0.008330934805699908,-0.037339719781597225,0.0008521124254912138,0.00042085497989319265,0.0005729155382141471,0.021708130836486816,0.014982807449996471,0.01727270893752575,0.04306089651072398,0.026432607363676655,0.03269037145655601
"volume_ratio_20,obv_change",2,0.004005065710627864,-0.009373144793372923,-0.022640670892545733,0.0008571396465413272,0.00041492210584692657,0.0005658142035827041,0.021649133414030075,0.014954186975955963,0.017133159562945366,0.04327916965121403,0.02645992808393203,0.0322271506243851
"volume_ratio_5,volatility_5",2,0.013879150314302646,-0.010534406374931526,-0.028431590466031276,0.0008510500192642212,0.00042246110388077796,0.0005743482033722103,0.021713202819228172,0.01514068990945816,0.017351143062114716,0.042721686715958634,0.02649036964867265,0.0324096436961554
"overnight_return,volatility_10",2,0.0037899614119545344,-0.011874712199332782,-0.03633346943712046,0.0008363883825950325,0.0004165978461969644,0.0005846403655596077,0.02158932387828827,0.015053541399538517,0.017409516498446465,0.043182711862027635,0.026525504718301823,0.032658660825109105
"gap_open,volatility_10",2,0.0037899614119545344,-0.011874712199332782,-0.03633346943712046,0.0008363883825950325,0.0004165978461969644,0.0005846403655596077,0.02158932387828827,0.015053541399538517,0.017409516498446465,0.043182711862027635,0.026525504718301823,0.032658660825109105
"volume_ratio_5,ma_50_gap",2,-0.006938240925838279,-0.012006443960259183,-0.024956995796236336,0.0008332704310305417,0.00043933175038546324,0.0005708466633222997,0.02176443114876747,0.015506397001445293,0.017525415867567062,0.043702227965695783,0.026528957963455474,0.03230014650034718
