features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"close_position,upper_shadow",2,-0.005070860373669106,0.03619774244685536,-0.07135824668186186,0.0003603545483201742,0.00023217048146761954,0.0002860210370272398,0.013548837043344975,0.011522256769239902,0.01216057687997818,0.02546528794337064,0.020447154299472463,0.02122903804993257
"return_10,volatility_5",2,0.008498346456854544,0.031150718989297554,-0.017782987741870926,0.00036326312692835927,0.00023284333292394876,0.0002898179227486253,0.013550812378525734,0.01137503795325756,0.011848637834191322,0.025077282905112956,0.020554227370303126,0.02032499040942639
"upper_shadow,return_3",2,-0.009788984795826128,0.031147452899428107,-0.07611648846099706,0.00035778715391643345,0.00023419868375640363,0.0002787841949611902,0.013497798703610897,0.011590084992349148,0.011985148303210735,0.025589843170018865,0.02055429666070268,0.021489902632310987
rolling_max_20_gap,1,0.0016803050740732406,0.02990657950797082,-0.03872579321033687,0.0003651934675872326,0.0002339053899049759,0.00028336458490230143,0.013520447537302971,0.011420311406254768,0.011826501227915287,0.02524972578394228,0.020580621904809963,0.020743215439142655
"rolling_max_20_gap,vwap_gap",2,0.0016803874643851469,0.029906498843452978,-0.019552366783675668,0.0003651935257948935,0.00023390540445689112,0.00026418964262120426,0.013520447537302971,0.011420311406254768,0.01139464508742094,0.02524972370010802,0.020580623616115193,0.019664613966597244
"volume_zscore_20,return_10",2,0.014373521195162664,0.0291337178084482,-0.04109200465697982,0.0003634606837294996,0.00023530045291408896,0.00029623258160427213,0.013491160236299038,0.011556103825569153,0.012032912112772465,0.02492868611298036,0.02059701823745854,0.020790468365885315
"upper_shadow,momentum_5",2,-0.009516136677315323,0.02884390391393643,-0.07791008630442553,0.0003586416714824736,0.00023563220747746527,0.0002806596166919917,0.013493070378899574,0.011563999578356743,0.012024031952023506,0.02557774876477197,0.020603166666114704,0.0215257205418311
"close_position,vwap_gap",2,0.011078115110458087,0.02758979797473815,-0.018984523868665004,0.00036996902781538665,0.00023406697437167168,0.00026405349490232766,0.013581394217908382,0.011463815346360207,0.011289323680102825,0.025056124443653974,0.020629772639949806,0.01937227434536909
close_position,1,0.011078218950934748,0.027589721425756775,-0.009014226803714775,0.00036996902781538665,0.00023406697437167168,0.0002838762302417308,0.013581394217908382,0.011463815346360207,0.011714549735188484,0.025056121812667698,0.020629774263943548,0.019993686967063697
"close_position,signed_volume",2,-0.0002392514446973859,0.02737077391676379,-0.03408072101674153,0.00036631140392273664,0.00023275217972695827,0.0002854179183486849,0.013555704616010189,0.011437579989433289,0.011779319494962692,0.02534287039306948,0.02063441925565713,0.020490381290437655
