features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"momentum_20,volatility_ratio",2,-0.06679648172573671,0.07602435402509511,-0.03703995891870737,0.0004279827408026904,0.00026302182232029736,0.0004374154086690396,0.014589774422347546,0.011319766752421856,0.015227005816996098,0.027959314035251738,0.01914098901906982,0.027582143584731968
"momentum_20,rolling_max_20_gap",2,-0.05895584335348447,0.07197164481432017,-0.03187921959599094,0.00042580877197906375,0.00025701787672005594,0.0004173761117272079,0.014637543819844723,0.011194301769137383,0.014802460558712482,0.027753821352962404,0.019224944546294868,0.02744488344178535
"price_acceleration,rolling_max_20_gap",2,-0.07522848847984265,0.07022816505005791,-0.038436443122593644,0.00041936832712963223,0.00025356662808917463,0.0004233813378959894,0.014631073921918869,0.01117784809321165,0.014768014661967754,0.028180305694695568,0.01926106230239384,0.02761928586405702
"lower_shadow,price_acceleration",2,-0.05993875267257165,0.0660941470852614,-0.025475798429625218,0.0004220186092425138,0.0002584017056506127,0.0004376774886623025,0.01465389970690012,0.011468297801911831,0.014929900877177715,0.02777958209626377,0.019346702213806567,0.027274571699672377
"intraday_return,lower_shadow",2,-0.05474387633254585,0.06428701398143577,-0.005029258486563659,0.00043553239083848894,0.000257979758316651,0.00042417002259753644,0.014748620800673962,0.011302598752081394,0.014612715691328049,0.028219008469022814,0.01938413860625588,0.026730755238531856
"body_pct,lower_shadow",2,-0.05474387633254585,0.06428701398143577,-0.005029258486563659,0.00043553239083848894,0.000257979758316651,0.00042417002259753644,0.014748620800673962,0.011302598752081394,0.014612715691328049,0.028219008469022814,0.01938413860625588,0.026730755238531856
"upper_shadow,atr_gap",2,-0.03613619999466855,0.06326711209355906,-0.052012533724518084,0.0004211871128063649,0.0002623070904519409,0.00042999201104976237,0.014425414614379406,0.011183158494532108,0.014897327870130539,0.02751435155514628,0.019405266793910414,0.027980369038414207
"momentum_20,vwap_gap",2,-0.03707686604230309,0.062182317460800496,-0.016261528564116334,0.0004361041646916419,0.00025626044953241944,0.00042134898831136525,0.014576970599591732,0.011040952987968922,0.01471947506070137,0.027180402516387415,0.019427739293314518,0.027895323582924902
momentum_20,1,-0.037076911793497036,0.06218231408903363,-0.03134852104201369,0.0004361041937954724,0.00025626044953241944,0.0004160402750130743,0.014576971530914307,0.011040952056646347,0.014662443660199642,0.02718040371546523,0.01942773936316371,0.02743076845654286
"lower_shadow,return_10",2,-0.05940044928453991,0.060066477531523055,-0.0017588483934696253,0.0004234889638610184,0.0002493675274308771,0.00043524138163775206,0.014643526636064053,0.011210492812097073,0.014989903196692467,0.02800951898097993,0.019471570826135577,0.026643772167153655
"upper_shadow,volatility_20",2,-0.056077186680882685,0.05937975819530983,-0.0054507055650379055,0.0004220176488161087,0.00026065571000799537,0.00043823651503771544,0.01447200309485197,0.01101318933069706,0.01524867583066225,0.027678375598043203,0.01948579683667049,0.026741964463144537
"return_3,price_acceleration",2,-0.08710897769474624,0.05875836740485052,-0.026633855802873585,0.0004214118525851518,0.00025058179744519293,0.0004235294763930142,0.014705408364534378,0.011039496399462223,0.014828954823315144,0.028491677483543774,0.019498669507447632,0.027305372542468828
"price_acceleration,volatility_5",2,-0.056299380240648844,0.058526684309399335,-0.003898023189336852,0.0004216016677673906,0.00025967162218876183,0.0004290746874175966,0.014588326215744019,0.01133870892226696,0.014971129596233368,0.027684198995120837,0.019503469031769787,0.026700667782279197
"momentum_20,obv_change",2,-0.0497470737198884,0.05851719194261895,-0.02230555559966607,0.0004287446790840477,0.00025694252690300345,0.000414942653151229,0.014492913149297237,0.011060547083616257,0.01463945209980011,0.027512471773661677,0.01950366567471065,0.027190252776199485
