features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"close_return,signed_volume",2,-0.003340974846241629,0.06709790640895696,-0.03610613306476118,0.0007779793813824654,0.0006096890429034829,0.0008797458722256124,0.020287029445171356,0.018064307048916817,0.022705750539898872,0.04111241202917881,0.031102080701384698,0.045207307662349185
"momentum_20,volatility_ratio",2,-0.009893907949900527,0.06683560167346347,-0.028873117526538872,0.0007730041979812086,0.0006432677619159222,0.0008902715053409338,0.02029123343527317,0.018561681732535362,0.022827528417110443,0.04117311958689243,0.031110825695213867,0.04489171725290361
"volatility_ratio,obv_change",2,-0.01012249971634116,0.06664379251904695,-0.00919973609751068,0.000785006966907531,0.0006212488515302539,0.0008883255068212748,0.020320549607276917,0.018083026632666588,0.022725870832800865,0.04118243921548129,0.031117220432497567,0.044033329701051116
"volatility_ratio,rolling_min_20_gap",2,-0.012011149561623302,0.06548357067931032,-0.025479060558019295,0.0007770578959025443,0.000644828425720334,0.0008852857863530517,0.020309556275606155,0.018794173374772072,0.02266460657119751,0.041259438992710784,0.03115590114030056,0.04474362800538074
"ma_5_gap,signed_volume",2,-0.009984426665996304,0.057359009040374276,-0.03869012613599754,0.0007764202309772372,0.0006113293347880244,0.0008773647714406252,0.020234309136867523,0.018153373152017593,0.022541457787156105,0.04124765140004456,0.031426766404183584,0.04532005226064938
"return_3,volatility_ratio",2,-0.008714707378667752,0.05122539786087077,-0.02297576191297357,0.0007777864229865372,0.0006341098342090845,0.0009002821170724928,0.02033199556171894,0.01835700124502182,0.022911010310053825,0.04112504387740047,0.031631255247339146,0.044634404260432345
"volatility_ratio,vwap_gap",2,-0.005891493983155582,0.05067260624619596,-0.03135289963488863,0.0007936493493616581,0.0006158858304843307,0.000874769757501781,0.02032574638724327,0.017983363941311836,0.022502247244119644,0.04100994218024427,0.03164968480123208,0.043682797462679446
volatility_ratio,1,-0.005891453435993066,0.050672600310034954,-0.0037040830494372567,0.0007936493493616581,0.0006158858304843307,0.0008902331464923918,0.02032574452459812,0.017983363941311836,0.02274644933640957,0.041009940527146696,0.03164968499913812,0.043793543765787035
"adjust_return,signed_volume",2,-0.009741046022486488,0.05063495527062034,-0.0488389579353572,0.0007805240456946194,0.0006106927758082747,0.0008805778925307095,0.020288338884711266,0.018102455884218216,0.02260897122323513,0.04137465823441744,0.03165094004943967,0.04576286535375401
"momentum_20,obv_change",2,-0.010204299047726462,0.0501198433957144,-0.039391296221745975,0.0007761985179968178,0.0006274670013226569,0.0008849896839819849,0.020313750952482224,0.01809658482670784,0.022585086524486542,0.04118577415356413,0.03166811339615379,0.04535064566298386
