features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"close_position,price_acceleration",2,-0.014604896803327883,0.06100008885993913,0.0569287003504374,0.0003941141767427325,0.0002718099276535213,0.0009729954181239009,0.013807696290314198,0.010939246974885464,0.022385060787200928,0.025618588575161996,0.01814765798626468,0.046781709510833026
"price_acceleration,true_range",2,-0.025265508958028482,0.055062859793303165,0.05201721689970762,0.00039689624099992216,0.0002603110624477267,0.0009609987610019743,0.01381936576217413,0.010685613378882408,0.022150862962007523,0.02596529245493002,0.018262404325651016,0.04703360374551266
"overnight_return,upper_shadow",2,-0.029878075677836735,0.052363384047669825,0.09922041336405962,0.0003916660789400339,0.00025605648988857865,0.0009671051520854235,0.01388991717249155,0.010778171941637993,0.022118335589766502,0.026183713297359648,0.018314575962722304,0.044691645138664166
"gap_open,upper_shadow",2,-0.029878075677836735,0.052363384047669825,0.09922041336405962,0.0003916660789400339,0.00025605648988857865,0.0009671051520854235,0.01388991717249155,0.010778171941637993,0.022118335589766502,0.026183713297359648,0.018314575962722304,0.044691645138664166
"upper_shadow,obv_change",2,-0.04255955472811612,0.052084331190534905,0.09200451282471755,0.0003966553194914013,0.0002522603317629546,0.0009835216915234923,0.013722682371735573,0.010548380203545094,0.022152435034513474,0.026550174865406014,0.018319969100411983,0.04504965776577592
"high_close_gap,price_acceleration",2,-0.029452914497284377,0.05149831172741315,0.05155890625138437,0.0003935539862141013,0.0002736126771196723,0.0010034077567979693,0.013729250989854336,0.011018361896276474,0.022525927051901817,0.026071340311318632,0.01833129485312384,0.04705634255660698
"price_acceleration,obv_change",2,-0.002072153891607309,0.0498618405489587,0.04329312182982392,0.0003984927316196263,0.00026086473371833563,0.0009660257492214441,0.013678359799087048,0.010635563172399998,0.02216433919966221,0.025377910706447435,0.018362922246160453,0.04746644455008208
"volume_change,upper_shadow",2,-0.030281301982749254,0.049564133775699015,0.09460658392015897,0.0003990386612713337,0.000252220022957772,0.0009819002589210868,0.013831651769578457,0.01055190246552229,0.022125182673335075,0.026217317476402973,0.018368675900273957,0.04492055755108595
"upper_shadow,vwap_gap",2,-0.029433197962347668,0.04929731677920213,0.08678788185314468,0.00039883298450149596,0.0002521736023481935,0.0009805661393329501,0.01383247971534729,0.010552866384387016,0.022111397236585617,0.02616968016809551,0.018373832560610027,0.04518428002484143
upper_shadow,1,-0.03039320594312911,0.04762644979580899,0.09329033618190241,0.00039837934309616685,0.00025213093613274395,0.0009819399565458298,0.013824689202010632,0.010549629107117653,0.022124772891402245,0.026170729905425103,0.018406124706962144,0.0449858624022454
"lower_shadow,obv_change",2,-0.039431146919023385,0.04747928380382793,0.08547000553600603,0.0003922521136701107,0.00025763773010112345,0.0009907335042953491,0.013823825865983963,0.010622155852615833,0.022601470351219177,0.026470505772158506,0.018408968922449278,0.045373863470740614
