features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volatility_5,vwap_gap",2,-0.01133524623297455,-0.013139613560567476,-0.011763145530133912,0.0004309767100494355,0.0001725297624943778,0.0003239716752432287,0.014511168003082275,0.00931687280535698,0.011869851499795914,0.026949519000481814,0.01613728901720606,0.020382549439091235
"volume_change,volatility_5",2,-0.01714460715375532,-0.016433154271847217,-0.017572109604596653,0.0004302473389543593,0.00017311572446487844,0.00032202855800278485,0.014474296011030674,0.009346550330519676,0.011903950944542885,0.027128662448376417,0.0161897485377267,0.020695723901735616
volatility_5,1,-0.01444528215440899,-0.023027398364329876,-0.012348598219349416,0.00043068695231340826,0.00017299379396717995,0.00032200367422774434,0.014514169655740261,0.00934452936053276,0.011910075321793556,0.027028507989598438,0.016294781665783374,0.02058948636986315
"lower_shadow,volatility_5",2,-0.019670349564981704,-0.023337656720898714,-0.017994467628786648,0.0004266068572178483,0.0001729745272314176,0.0003192356671206653,0.014497367665171623,0.009366331622004509,0.011878963559865952,0.027167722769081595,0.016299723461270333,0.02070431396132335
"return_3,volatility_5",2,-0.02540976970376363,-0.023611630672671247,-0.044515531943085884,0.00042566622141748667,0.00017104607832152396,0.00033144603366963565,0.014608611352741718,0.009292205795645714,0.01209305040538311,0.02732064177398571,0.016304087318712846,0.021243708289694033
range_pct,1,0.007178144258448871,-0.023624459708844192,-0.005676091215433221,0.00043146844836883247,0.00017183783347718418,0.00031797500560060143,0.014514793641865253,0.009263593703508377,0.011784656904637814,0.02640200072200969,0.016304291659616867,0.02045377867761999
"volume_change,range_pct",2,0.008056770154852289,-0.024221860549294982,-0.007985792409548331,0.00043099684990011156,0.00017192088125739247,0.00031789595959708095,0.014475168660283089,0.009266811423003674,0.011784098111093044,0.02642897156183608,0.016313807060942057,0.020500754157546902
"close_return,rolling_min_20_gap",2,-0.025446879689215107,-0.024286041726230057,-0.019791495971760886,0.0004287009360268712,0.00017242114699911326,0.0003282468533143401,0.014707083813846111,0.00927053578197956,0.012060604989528656,0.027350095612928275,0.016314829338807617,0.020740862528327846
"range_pct,volatility_5",2,-0.005347068144182288,-0.024338995783502737,-0.027189662314582197,0.0004266735340934247,0.00017422408564016223,0.00032167916651815176,0.014475029893219471,0.00934918224811554,0.011940504424273968,0.0267860985128209,0.016315672791097316,0.020891328924335532
"volatility_5,rolling_min_20_gap",2,-0.01603813268359966,-0.02493997485265509,-0.031043995210769726,0.00042773617315106094,0.0001718745188554749,0.00032728153746575117,0.014645674265921116,0.009254907257854939,0.011971820145845413,0.027099151234142485,0.016325245186453688,0.02096971964347176
"range_pct,vwap_gap",2,0.009782525226853855,-0.02522546389265634,-0.012050072660275912,0.00043144452502019703,0.00017178144480567425,0.00032015718170441687,0.014512436464428902,0.00926978513598442,0.011767652817070484,0.026341261365450917,0.01632979245623574,0.020388329750858247
