features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"atr_14,volatility_10",2,-0.009334387705225655,0.08112373545858265,0.002256790906575601,0.000828332791570574,0.0004872507997788489,0.0013048687251284719,0.02059948816895485,0.016206249594688416,0.027532942593097687,0.041907373393769376,0.027109499432845043,0.051210325119609476
"high_close_gap,atr_14",2,-0.010540453605277778,0.0805230690124652,0.025287031691852202,0.0008262689225375652,0.0004785404016729444,0.00125688046682626,0.020572064444422722,0.01605515368282795,0.027077363803982735,0.04195744902244769,0.027127220825059344,0.0500282713532215
"momentum_20,rolling_max_20_gap",2,-0.011089482647116844,0.07116983773369179,0.027317212810093472,0.0008276817388832569,0.00046393886441364884,0.0011076157679781318,0.020711064338684082,0.015542261302471161,0.02524559013545513,0.04198894922155891,0.027403168118325997,0.049924069957342
"volatility_20,ma_20_gap",2,0.0011059792106901112,0.06659024581711304,0.039476339877587696,0.0008278770837932825,0.0004578663792926818,0.0011090589687228203,0.020697982981801033,0.015393289737403393,0.025033719837665558,0.04148249095305802,0.02753827928536339,0.04929998868610709
"momentum_5,volatility_20",2,0.000982332073776293,0.06642457355908493,0.03231287933187699,0.0008275313884951174,0.00045746492105536163,0.0011074140202254057,0.020703600719571114,0.015433412045240402,0.02506025694310665,0.04148762582335622,0.02754316709470004,0.04966766159050166
"close_position,volatility_10",2,-0.007380292168573277,0.06375095083772175,0.02954371794858035,0.0009018639102578163,0.0004665678134188056,0.0011104688746854663,0.0223753172904253,0.015414132736623287,0.02502930723130703,0.044711192250542806,0.027622046674514424,0.049802822922356424
"price_acceleration,rolling_max_20_gap",2,-0.014691998587511357,0.06358789091107753,0.021388760157628695,0.0008265041979029775,0.0004679715202655643,0.0011165813775733113,0.020665474236011505,0.015575611032545567,0.0252471212297678,0.04213855601847173,0.027626857412542453,0.05022835465206299
"volatility_20,ma_50_gap",2,0.002693833242354615,0.06312377761062082,0.033931784033406576,0.0008349413401447237,0.000458083872217685,0.0011079038958996534,0.02081347070634365,0.015379568561911583,0.02506028674542904,0.04185034732799977,0.027640550093201457,0.049584569432772695
"momentum_20,ma_cross_5_20",2,-0.020766346611123643,0.060582108895376074,0.03302356177551491,0.0008241195464506745,0.0004670398193411529,0.0011056081857532263,0.020588984712958336,0.015562925487756729,0.025074172765016556,0.04239081409759819,0.02771553664933891,0.04963118499144912
"close_low_gap,rolling_max_20_gap",2,-0.005056562229596384,0.060323904824347685,0.010510574722938482,0.0008271798142232001,0.00046429966459982097,0.0011497092200443149,0.020803846418857574,0.01556179765611887,0.025642208755016327,0.04173408522619865,0.027723154413979503,0.050786690111272036
"close_return,volatility_10",2,-0.003938765722364401,0.06007698725009858,0.03248548380740113,0.0008257926092483103,0.0004686826141551137,0.0011168831260874867,0.020820310339331627,0.015744268894195557,0.02510000765323639,0.04168334818677977,0.02773043919441989,0.04965880246600136
"close_position,volatility_5",2,-0.006052659246210679,0.059566959178597,0.030896680843498614,0.0008967176545411348,0.0004646593297366053,0.0011216345010325313,0.022370388731360435,0.015367581509053707,0.02519766427576542,0.04464825015165845,0.027745486493222418,0.04973339025164023
"return_3,volatility_20",2,-0.0039990927529176545,0.059459181753670154,0.029185722464882824,0.00082750542787835,0.00046083040069788694,0.0011222331086173654,0.020692860707640648,0.015450938604772091,0.025193024426698685,0.04169449652836193,0.027748666238039732,0.04982816653646296
"ma_50_gap,rolling_max_20_gap",2,-0.011381125069124032,0.05818913147032312,0.023017890747737968,0.0008353241719305515,0.0004614921926986426,0.0011050606844946742,0.020857293158769608,0.015491600148379803,0.025201210752129555,0.04244098028866574,0.027786136383656415,0.050144737638765945
"volatility_10,rolling_max_20_gap",2,-0.010512964443242234,0.057543218219434755,0.01885796679366003,0.0008274979190900922,0.00047010029084049165,0.0011233803816139698,0.020731594413518906,0.015570887364447117,0.025275198742747307,0.0419606575043872,0.02780519268708304,0.05035825055092573
"return_3,price_acceleration",2,-0.009973397302317943,0.05753963455632971,0.032277540451875364,0.0008272603154182434,0.000465620425529778,0.001114171463996172,0.02066565491259098,0.015477808192372322,0.02509940229356289,0.041942599960020754,0.02780529841547832,0.04966947539942339
"volatility_20,ma_5_gap",2,-0.004450053959558664,0.0572486554752627,0.038169844297037736,0.0008268206147477031,0.0004616107908077538,0.0011176657862961292,0.020734576508402824,0.015539939515292645,0.025146842002868652,0.041713224234990784,0.02781388313742355,0.04936704608408035
