features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"lower_shadow,return_3,volatility_20",3,-0.02576561809018707,0.049212151943491156,-0.04176165494776307,0.00021749523875769228,0.00012360991968307644,0.00035777033190242946,0.010527556762099266,0.007707868702709675,0.013053635135293007,0.019848285475745797,0.013136621701414698,0.024217837769538154
"lower_shadow,volatility_20,ma_20_gap",3,-0.02971739328818379,0.04805757858981219,-0.03687477231987679,0.00021739487419836223,0.00012380089901853353,0.00035939327790401876,0.01053051371127367,0.00769661134108901,0.01311560533940792,0.019924751250073314,0.013152573938714341,0.02410423238761722
"lower_shadow,volatility_20,ma_5_gap",3,-0.030991843135926178,0.04522433493766331,-0.029443579405814546,0.000217370645259507,0.00012367624731268734,0.0003588710096664727,0.010530121624469757,0.007698621600866318,0.013096541166305542,0.019949411507695913,0.013191719632595782,0.023931479413295157
"lower_shadow,volatility_20,ma_10_gap",3,-0.028591421690889796,0.04485625435391605,-0.028314615156628253,0.0002174295368604362,0.00012355927901808172,0.00035893984022550285,0.010533727705478668,0.007691499777138233,0.013111114501953125,0.01990296400617808,0.013196805241750556,0.02390523437643423
"lower_shadow,volatility_20,ma_50_gap",3,-0.031185657369388275,0.04483569798050768,-0.028346099919094758,0.00021899906278122216,0.00012402966967783868,0.00035927831777371466,0.010575260035693645,0.007706889417022467,0.013118894770741463,0.019983596494421364,0.013197089260211216,0.023905966302845617
"lower_shadow,volatility_20,ma_cross_5_20",3,-0.0310097629247732,0.0416417661019548,-0.01679044969402943,0.00021754317276645452,0.00012545102799776942,0.0003608428523875773,0.010524457320570946,0.007762317545711994,0.013100041076540947,0.019949758250731975,0.013241218426264825,0.02363733205129391
"lower_shadow,atr_14,volatility_20",3,-0.0233864585332777,0.0405838235858893,-0.026286667844837908,0.0002172175154555589,0.0001262592413695529,0.00035872217267751694,0.010519631206989288,0.007869206368923187,0.013106015510857105,0.0198022493859753,0.01325583555735648,0.02385809067636728
"lower_shadow,price_acceleration,volatility_20",3,-0.02781141001237364,0.039992137568437336,0.03443442241880301,0.00021820917027071118,0.0001265976607101038,0.0003619013587012887,0.010537812486290932,0.007819989696145058,0.013283380307257175,0.019887870992533863,0.013264010625425735,0.022446507224231027
"adjust_return,lower_shadow,ma_5_gap",3,-0.029872101286231523,0.039629612100888334,-0.022738855620986875,0.00021717460185755044,0.00012536773283500224,0.0003729860472958535,0.010487211868166924,0.007650965824723244,0.013340878300368786,0.01982612109859474,0.013269019481958825,0.023775614670012143
"adjust_return,lower_shadow,volatility_20",3,-0.02893330551198625,0.039052727649681374,-0.027510376080098986,0.00021736370399594307,0.00012369103205855936,0.0003590666165109724,0.010531023144721985,0.007700575049966574,0.013094281777739525,0.019909579365048558,0.01327699004323222,0.023886538227088742
