model,threshold,holding_period,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
arima,0.0,1,1584,0.6006825938566553,0.5940656565656566,0.003616809917361111,0.003616809917361111,5.7290269091,220.35723379488218,220.35723379488218
arima,0.0025,1,0,0.0,,,,0.0,1.0,1.0
arima,0.005,1,0,0.0,,,,0.0,1.0,1.0
arima,0.01,1,0,0.0,,,,0.0,1.0,1.0
arima,0.015,1,0,0.0,,,,0.0,1.0,1.0
arima,0.02,1,0,0.0,,,,0.0,1.0,1.0
linear_regression,0.0,1,1603,0.6078877512324611,0.5601996257018091,0.0017644203973175296,0.0017644203973175296,2.8283658969,11.959475175187322,11.959475175187322
linear_regression,0.0025,1,792,0.3003412969283277,0.5694444444444444,0.0033217470539141413,0.0033217470539141413,2.6308236667,11.300147536657976,11.300147536657976
linear_regression,0.005,1,253,0.09594235874099355,0.5691699604743083,0.0027439733035573123,0.0027439733035573123,0.6942252458,1.838115019481716,1.838115019481716
linear_regression,0.01,1,21,0.007963594994311717,0.7619047619047619,0.02309083206190476,0.02309083206190476,0.4849074733,1.5995990014224066,1.5995990014224066
linear_regression,0.015,1,9,0.0034129692832764505,0.6666666666666666,-0.001196016311111111,-0.001196016311111111,-0.010764146799999999,0.9879505782969569,0.9879505782969569
linear_regression,0.02,1,1,0.0003792188092529389,1.0,0.029096482,0.029096482,0.029096482,1.029096482,1.029096482
lstm,0.0,1,1817,0.6890405764125901,0.5613648871766649,0.0011204295336818934,0.0011204295336818934,2.0358204627000003,5.031648623530136,5.031648623530136
lstm,0.0025,1,298,0.1130072051573758,0.587248322147651,0.005234754150671141,0.005234754150671141,1.5599567369,4.167245124042859,4.167245124042859
lstm,0.005,1,92,0.034888130451270385,0.5978260869565217,0.009447499033695654,0.009447499033695654,0.8691699111000001,2.2406530157423905,2.2406530157423905
lstm,0.01,1,8,0.0030337504740235114,0.875,0.026968268912500003,0.026968268912500003,0.21574615130000002,1.2333578920478325,1.2333578920478325
lstm,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.0,1,1623,0.6154721274175199,0.574245224892175,0.0017274301576709796,0.0017274301576709796,2.8036191459,11.52148934744826,11.52148934744826
lstm_best_by_val,0.0025,1,281,0.10656048540007584,0.597864768683274,0.005864218390391459,0.005864218390391459,1.6478453677,4.638523152077158,4.638523152077158
lstm_best_by_val,0.005,1,86,0.03261281759575275,0.6395348837209303,0.009328716955813953,0.009328716955813953,0.8022696582,2.117339157950279,2.117339157950279
lstm_best_by_val,0.01,1,17,0.006446719757299962,0.8235294117647058,0.025898443017647058,0.025898443017647058,0.44027353129999997,1.5334587534233344,1.5334587534233344
lstm_best_by_val,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_ensemble,0.0,1,1819,0.6897990140310959,0.5717427157778999,0.0015403934804837825,0.0015403934804837825,2.801975741,10.900482262330005,10.900482262330005
lstm_ensemble,0.0025,1,266,0.10087220326128175,0.5864661654135338,0.0062226779334586466,0.0062226779334586466,1.6552323303,4.629449651372211,4.629449651372211
lstm_ensemble,0.005,1,81,0.030716723549488054,0.6419753086419753,0.00979899575925926,0.00979899575925926,0.7937186565,2.1011357882899317,2.1011357882899317
lstm_ensemble,0.01,1,7,0.0026545316647705727,0.7142857142857143,0.021716000699999998,0.021716000699999998,0.1520120049,1.1572082160478618,1.1572082160478618
lstm_ensemble,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_ensemble,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_42,0.0,1,1817,0.6890405764125901,0.5613648871766649,0.0011204295336818934,0.0011204295336818934,2.0358204627000003,5.031648623530136,5.031648623530136
lstm_seed_42,0.0025,1,298,0.1130072051573758,0.587248322147651,0.005234754150671141,0.005234754150671141,1.5599567369,4.167245124042859,4.167245124042859
lstm_seed_42,0.005,1,92,0.034888130451270385,0.5978260869565217,0.009447499033695654,0.009447499033695654,0.8691699111000001,2.2406530157423905,2.2406530157423905
lstm_seed_42,0.01,1,8,0.0030337504740235114,0.875,0.026968268912500003,0.026968268912500003,0.21574615130000002,1.2333578920478325,1.2333578920478325
lstm_seed_42,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_42,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.0,1,1963,0.7444065225635191,0.5608762098828324,0.0013200590375445746,0.0013200590375445746,2.5912758907,8.730300745983994,8.730300745983994
lstm_seed_52,0.0025,1,252,0.09556313993174062,0.5674603174603174,0.004961197135317461,0.004961197135317461,1.2502216781000002,3.122016986998531,3.122016986998531
lstm_seed_52,0.005,1,62,0.023511566173682216,0.6451612903225806,0.009762314348387096,0.009762314348387096,0.6052634896,1.7531368132283707,1.7531368132283707
lstm_seed_52,0.01,1,3,0.0011376564277588168,0.6666666666666666,0.0241968,0.0241968,0.0725904,1.0725011129849809,1.0725011129849809
lstm_seed_52,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_62,0.0,1,1623,0.6154721274175199,0.574245224892175,0.0017274301576709796,0.0017274301576709796,2.8036191459,11.52148934744826,11.52148934744826
lstm_seed_62,0.0025,1,281,0.10656048540007584,0.597864768683274,0.005864218390391459,0.005864218390391459,1.6478453677,4.638523152077158,4.638523152077158
lstm_seed_62,0.005,1,86,0.03261281759575275,0.6395348837209303,0.009328716955813953,0.009328716955813953,0.8022696582,2.117339157950279,2.117339157950279
lstm_seed_62,0.01,1,17,0.006446719757299962,0.8235294117647058,0.025898443017647058,0.025898443017647058,0.44027353129999997,1.5334587534233344,1.5334587534233344
lstm_seed_62,0.015,1,0,0.0,,,,0.0,1.0,1.0
lstm_seed_62,0.02,1,0,0.0,,,,0.0,1.0,1.0
lstm_signmag,0.0,1,2386,0.9048160788775124,0.5603520536462699,0.0012371603113579214,0.0012371603113579214,2.9518645029000004,11.455646530704238,11.455646530704238
lstm_signmag,0.0025,1,321,0.1217292377701934,0.5451713395638629,0.003951675080062305,0.003951675080062305,1.2684877006999997,3.111462025075093,3.111462025075093
lstm_signmag,0.005,1,67,0.02540766021994691,0.7313432835820896,0.020799521714925374,0.020799521714925374,1.3935679549,3.8301652359443907,3.8301652359443907
lstm_signmag,0.01,1,3,0.0011376564277588168,1.0,0.06882467800000001,0.06882467800000001,0.20647403400000003,1.2210101490229182,1.2210101490229182
lstm_signmag,0.015,1,0,0.0,,,,0.0,1.0,1.0
