code,stock_days,latest_date,hard_issue_rows,imputed_rows,event_rows,coverage_pct,days_since_latest,quality_score
ANV,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
BID,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
BMP,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
BVH,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
BWE,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
CII,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
CMG,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
CTG,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
CTS,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
DBC,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
DCM,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
DGW,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
DPM,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
EIB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
FPT,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
FRT,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
GAS,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
GEX,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
HAG,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
HDB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
HDG,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
HPG,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
HT1,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
KDC,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
KDH,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
MBB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
MSN,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
MWG,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
NT2,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
PC1,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
PDR,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
PHR,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
PLX,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
PNJ,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
POW,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
PPC,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
PTB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
PVT,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
REE,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
SAB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
SBT,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
SCS,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
SJS,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
SSI,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
STB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
TCB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
TCH,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
TLG,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
TPB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VCB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VGC,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VHC,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VHM,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VIC,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VJC,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VNM,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VPB,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VPI,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
VRE,1557,2026-04-01,0,0,0,0.9955242966751918,9,99.7314578005115
KOS,1554,2026-04-01,0,0,0,0.9936061381074168,9,99.61636828644501
IMP,1544,2026-04-01,0,0,0,0.9872122762148338,9,99.23273657289002
DXG,1557,2026-04-01,0,0,1,0.9955242966751918,9,97.7314578005115
GMD,1557,2026-04-01,0,0,1,0.9955242966751918,9,97.7314578005115
HDC,1557,2026-04-01,0,0,1,0.9955242966751918,9,97.7314578005115
HSG,1557,2026-04-01,0,0,1,0.9955242966751918,9,97.7314578005115
KBC,1557,2026-04-01,0,0,1,0.9955242966751918,9,97.7314578005115
NLG,1557,2026-04-01,0,0,1,0.9955242966751918,9,97.7314578005115
FTS,1556,2026-04-01,0,0,1,0.9948849104859335,9,97.69309462915601
DGC,1551,2026-04-01,0,0,1,0.9916879795396419,9,97.50127877237851
GVR,1551,2026-04-01,0,0,1,0.9916879795396419,9,97.50127877237851
DIG,1557,2026-04-01,0,0,2,0.9955242966751918,9,95.7314578005115
NKG,1557,2026-04-01,0,0,2,0.9955242966751918,9,95.7314578005115
SZC,1557,2026-04-01,0,0,2,0.9955242966751918,9,95.7314578005115
CTD,1557,2026-04-01,0,0,3,0.9955242966751918,9,93.7314578005115
HCM,1557,2026-04-01,0,0,3,0.9955242966751918,9,93.7314578005115
VCI,1557,2026-04-01,0,0,3,0.9955242966751918,9,93.7314578005115
VSC,1557,2026-04-01,0,0,3,0.9955242966751918,9,93.7314578005115
PAN,1550,2026-04-01,0,0,3,0.9910485933503836,9,93.46291560102301
MSB,1312,2026-04-01,0,0,0,0.8388746803069054,9,90.33248081841433
PVD,1557,2026-04-01,1,0,0,0.9955242966751918,9,89.7314578005115
VCG,1552,2026-04-01,0,0,5,0.9923273657289002,9,89.53964194373401
SSB,1253,2026-04-01,0,0,0,0.801150895140665,9,88.0690537084399
ACB,1552,2026-04-01,0,0,6,0.9923273657289002,9,87.53964194373401
OCB,1287,2026-04-01,0,0,3,0.8228900255754475,9,83.37340153452685
VIB,1550,2026-04-01,1,0,4,0.9910485933503836,9,81.46291560102301
DXS,1169,2026-04-01,0,0,2,0.7474424552429667,9,80.846547314578
VND,1551,2026-04-01,0,0,14,0.9916879795396419,9,71.50127877237851
BSI,1551,2026-04-01,0,0,15,0.9916879795396419,9,69.50127877237851
LPB,1547,2026-04-01,1,0,13,0.9891304347826086,9,63.347826086956516
