Date,code,high,low,open,close,adjust,volume_match,value_match
2025-05-13,VPL,85500,85500,85500,85500,85500.0,4800,410400000
2025-05-14,VPL,91400,91400,91400,91400,91400.0,2100100,191949140000
2025-05-15,VPL,97700,97700,97700,97700,97700.0,1815600,177384120000
2025-05-16,VPL,104500,93300,104500,101000,101000.0,1163300,117493300000
2025-05-19,VPL,101000,96400,100000,98200,98200.0,381300,37443660000
2025-05-20,VPL,102000,95100,95100,99500,99500.0,617200,61411400000
2025-05-21,VPL,101300,95700,99700,98000,98000.0,396300,38837400000
2025-05-22,VPL,96500,92000,96500,92000,92000.0,597200,54942400000
2025-05-23,VPL,92600,90300,90500,90300,90300.0,196400,17734920000
2025-05-26,VPL,90600,84000,90300,90000,90000.0,401600,36144000000
2025-05-27,VPL,89800,87200,89800,87200,87200.0,208100,18146320000
2025-05-28,VPL,90500,86500,86600,88000,88000.0,283300,24930400000
2025-05-29,VPL,90000,87600,88000,88500,88500.0,175500,15531750000
2025-05-30,VPL,89200,88000,88400,89000,89000.0,216300,19250700000
2025-06-02,VPL,89000,87000,89000,87500,87500.0,126000,11025000000
2025-06-03,VPL,88100,87000,87500,87500,87500.0,166300,14551250000
2025-06-04,VPL,88000,87100,88000,88000,88000.0,97700,8597600000
2025-06-05,VPL,88600,87500,88000,88200,88200.0,105700,9322740000
2025-06-06,VPL,88300,87500,88200,88200,88200.0,104600,9225720000
2025-06-09,VPL,88400,87500,87600,88200,88200.0,134600,11871720000
2025-06-10,VPL,88400,87400,88400,88200,88200.0,99300,8758260000
2025-06-11,VPL,88200,88000,88200,88200,88200.0,61200,5397840000
2025-06-12,VPL,88200,86000,86000,88200,88200.0,101700,8969940000
2025-06-13,VPL,88200,87000,87000,88200,88200.0,177800,15681960000
2025-06-16,VPL,94300,87800,88100,94000,94000.0,287600,27034400000
2025-06-17,VPL,96000,93900,94100,95400,95400.0,125700,11991780000
2025-06-18,VPL,95900,94200,95900,94300,94300.0,92300,8703890000
2025-06-19,VPL,95300,90000,90000,94200,94200.0,47500,4474500000
2025-06-20,VPL,94200,93100,93100,93500,93500.0,73900,6909650000
2025-06-23,VPL,94500,91300,93300,94500,94500.0,34700,3279150000
2025-06-24,VPL,95000,93400,94500,94600,94600.0,46300,4379980000
2025-06-25,VPL,94900,94000,94100,94600,94600.0,23300,2204180000
2025-06-26,VPL,94600,93700,94000,94600,94600.0,36900,3490740000
2025-06-27,VPL,94600,92500,92600,94600,94600.0,37900,3585340000
2025-06-30,VPL,94600,94000,94600,94600,94600.0,31900,3017740000
2025-07-01,VPL,94600,93600,94600,94600,94600.0,36400,3443440000
2025-07-02,VPL,94600,93300,94600,94600,94600.0,31700,2998820000
2025-07-03,VPL,94100,93500,93500,94100,94100.0,64700,6088270000
2025-07-04,VPL,94100,93200,94000,94100,94100.0,22900,2154890000
2025-07-07,VPL,94100,93500,94100,94100,94100.0,23700,2230170000
2025-07-08,VPL,94100,93400,93800,94100,94100.0,22500,2117250000
2025-07-09,VPL,94100,93700,94100,94100,94100.0,46800,4403880000
2025-07-10,VPL,97000,93500,94100,93700,93700.0,243900,22853430000
2025-07-11,VPL,94500,92300,94500,92300,92300.0,359600,33191080000
2025-07-14,VPL,93700,92300,93700,92400,92400.0,329000,30399600000
2025-07-15,VPL,93500,91500,93500,92000,92000.0,399100,36717200000
2025-07-16,VPL,91600,90400,90400,91300,91300.0,418800,38236440000
2025-07-17,VPL,91500,88800,91400,90300,90300.0,510200,46071060000
2025-07-18,VPL,91200,89800,90600,90100,90100.0,339600,30597960000
2025-07-21,VPL,90300,88900,90200,88900,88900.0,378700,33666430000
2025-07-22,VPL,88800,88000,88400,88400,88400.0,405300,35828520000
2025-07-23,VPL,88500,87900,88400,88200,88200.0,435300,38393460000
2025-07-24,VPL,88200,87200,88200,88000,88000.0,410100,36088800000
2025-07-25,VPL,88200,87400,88000,87600,87600.0,406000,35565600000
2025-07-28,VPL,88400,87500,88000,87900,87900.0,398700,35045730000
2025-07-29,VPL,88000,86000,88000,86000,86000.0,531100,45674600000
2025-07-30,VPL,86100,85000,86000,85300,85300.0,376000,32072800000
2025-07-31,VPL,84400,80100,84400,82700,82700.0,260300,21526810000
2025-08-01,VPL,83000,81900,82200,81900,81900.0,229600,18804240000
2025-08-04,VPL,86300,82500,82500,85000,85000.0,243500,20697500000
2025-08-05,VPL,86200,83800,86200,84000,84000.0,439400,36909600000
2025-08-06,VPL,85400,83800,85400,84900,84900.0,394200,33467580000
2025-08-07,VPL,84900,84000,84900,84900,84900.0,383500,32559150000
2025-08-08,VPL,84900,84000,84900,84000,84000.0,359300,30181200000
2025-08-11,VPL,84800,83500,84800,84000,84000.0,395000,33180000000
2025-08-12,VPL,84000,82900,83500,84000,84000.0,473200,39748800000
2025-08-13,VPL,84200,83000,84200,83300,83300.0,208700,17384710000
2025-08-14,VPL,83300,82500,83300,82800,82800.0,234300,19400040000
2025-08-15,VPL,83000,82300,83000,82900,82900.0,259900,21545710000
2025-08-18,VPL,82800,81600,82800,81600,81600.0,30000,2448000000
2025-08-19,VPL,82700,81500,82700,81500,81500.0,213800,17424700000
2025-08-20,VPL,81500,78000,81300,81500,81500.0,317300,25859950000
2025-08-21,VPL,81400,80000,81400,80900,80900.0,75200,6083680000
2025-08-22,VPL,80900,78900,80900,80800,80800.0,328400,26534720000
2025-08-25,VPL,80800,78900,80100,80800,80800.0,338900,27383120000
2025-08-26,VPL,80600,79900,80600,80200,80200.0,227000,18205400000
2025-08-27,VPL,80200,79500,80000,80200,80200.0,334900,26858980000
2025-08-28,VPL,80300,79700,79700,80200,80200.0,326700,26201340000
2025-08-29,VPL,80200,79700,80200,80200,80200.0,342200,27444440000
2025-09-03,VPL,80300,79700,80300,80200,80200.0,378400,30347680000
2025-09-04,VPL,80200,79700,80200,80100,80100.0,359200,28771920000
2025-09-05,VPL,80900,80100,80100,80400,80400.0,377700,30367080000
2025-09-08,VPL,80500,79400,80500,80300,80300.0,374400,30064320000
2025-09-09,VPL,80300,79100,79600,80300,80300.0,461800,37082540000
2025-09-10,VPL,80300,79700,80100,80300,80300.0,361500,29028450000
2025-09-11,VPL,80500,79500,80500,80300,80300.0,439500,35291850000
2025-09-12,VPL,80500,79800,80500,80300,80300.0,374500,30072350000
2025-09-15,VPL,80400,79600,80300,80300,80300.0,499400,40101820000
2025-09-16,VPL,80300,79600,80300,80200,80200.0,400800,32144160000
2025-09-17,VPL,80300,79700,80100,80300,80300.0,497000,39909100000
2025-09-18,VPL,80200,79900,80200,80000,80000.0,439400,35152000000
2025-09-19,VPL,80000,79600,80000,80000,80000.0,444000,35520000000
2025-09-22,VPL,80200,79200,80000,80200,80200.0,524000,42024800000
2025-09-23,VPL,80200,79400,80000,80200,80200.0,370600,29722120000
2025-09-24,VPL,80100,79500,79900,80100,80100.0,435500,34883550000
2025-09-25,VPL,80100,79500,80000,80100,80100.0,376100,30125610000
2025-09-26,VPL,80200,79800,80000,80200,80200.0,425000,34085000000
2025-09-29,VPL,80100,79600,80100,80000,80000.0,616200,49296000000
2025-09-30,VPL,80200,79800,80000,80200,80200.0,427700,34301540000
2025-10-01,VPL,80200,79800,79800,80200,80200.0,538900,43219780000
2025-10-02,VPL,80300,79700,80200,80300,80300.0,438700,35227610000
2025-10-03,VPL,80300,79800,80300,80000,80000.0,557600,44608000000
2025-10-06,VPL,83000,80000,80200,81000,81000.0,1099100,89027100000
2025-10-07,VPL,86600,81200,81500,86600,86600.0,2485400,215235640000
2025-10-08,VPL,88900,85700,88900,86600,86600.0,660000,57156000000
2025-10-09,VPL,92200,86100,86800,87200,87200.0,1278800,111511360000
2025-10-10,VPL,89800,86400,88600,89000,89000.0,1148200,102189800000
2025-10-13,VPL,91900,87600,87600,89200,89200.0,1103500,98432200000
