folder,report_dir,gold_dir,exists_report,exists_gold,size_report_mb,size_gold_mb,recommended_action,reason,exists_report_after,exists_gold_after,size_report_mb_after,size_gold_mb_after
regime_retrain_smoke_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/regime_retrain_smoke_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/regime_retrain_smoke_20260527,True,True,2.106,0.003,delete_candidate,smoke/debug superseded by regime_calibration_20260527,False,False,0.0,0.0
vn_improvement_smoke_debug_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/vn_improvement_smoke_debug_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/vn_improvement_smoke_debug_20260526,True,True,0.004,0.004,delete_candidate,"debug smoke, not final",False,False,0.0,0.0
vn_improvement_smoke_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/vn_improvement_smoke_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/vn_improvement_smoke_20260526,True,True,0.003,0.003,delete_candidate,"smoke, not final",False,False,0.0,0.0
regime_grid_search_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/regime_grid_search_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/regime_grid_search_20260527,True,False,0.022,0.0,archive_or_delete,search artifact superseded by selected regime calibration,False,False,0.0,0.0
static_error_hetero_anchor_probe_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/static_error_hetero_anchor_probe_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/static_error_hetero_anchor_probe_20260528,True,True,0.006,0.006,delete_candidate,small preliminary probe superseded by 3seed/long/static riskaux summaries,False,False,0.0,0.0
static_error_hetero_anchor_seed43_long_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/static_error_hetero_anchor_seed43_long_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/static_error_hetero_anchor_seed43_long_20260528,True,True,2.333,2.333,archive_or_delete,"single-seed/long preliminary, superseded by 3seed summary",False,False,0.0,0.0
static_error_riskaux_probe_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/static_error_riskaux_probe_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/static_error_riskaux_probe_20260528,True,True,49.539,0.005,archive_predictions_keep_summary,large riskaux predictions; ablation summary enough,False,False,0.0,0.0
static_error_riskaux_attached_probe_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/static_error_riskaux_attached_probe_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/static_error_riskaux_attached_probe_20260528,True,True,49.483,0.005,archive_predictions_keep_summary,large attached riskaux predictions; summary enough,False,False,0.0,0.0
long_window_relscore_probe_20260524,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/long_window_relscore_probe_20260524,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/long_window_relscore_probe_20260524,True,True,30.025,0.0,archive_or_delete,older window search; current 15-window/meta stack selected,False,False,0.0,0.0
stressaux_lstm_probe_20260519,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/stressaux_lstm_probe_20260519,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/stressaux_lstm_probe_20260519,True,True,218.815,0.095,archive_or_delete,large older probe; keep only if reproducing advisor_report_20260521,False,False,0.0,0.0
portable_hetero_smoke_20260525_vn,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/portable_hetero_smoke_20260525_vn,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/portable_hetero_smoke_20260525_vn,False,False,0.0,0.0,delete_candidate,smoke only,False,False,0.0,0.0
portable_hetero_3seed_20260525_vn,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/portable_hetero_3seed_20260525_vn,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/portable_hetero_3seed_20260525_vn,True,True,0.005,0.003,archive_or_delete,superseded by hetero_combined_full5/meta stack,False,False,0.0,0.0
hetero_combined_extra4_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/hetero_combined_extra4_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/hetero_combined_extra4_20260526,True,True,8.418,0.003,archive_or_delete,extra seed exploration did not become main,False,False,0.0,0.0
hetero_combined_9seed_ensemble_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/hetero_combined_9seed_ensemble_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/hetero_combined_9seed_ensemble_20260526,True,True,0.012,0.012,archive_or_delete,not main; keep summary only if referenced,False,False,0.0,0.0
vn_rich_feat_d002_5seed_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/vn_rich_feat_d002_5seed_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/vn_rich_feat_d002_5seed_20260526,True,True,8.903,8.903,archive_or_delete,rich feature experiment did not beat main,False,False,0.0,0.0
vn_rich_feat_full5_preds_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/vn_rich_feat_full5_preds_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/vn_rich_feat_full5_preds_20260526,True,True,8.902,8.902,archive_or_delete,rich feature preds large; not main,False,False,0.0,0.0
vn_rich_deeper_3seed_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/vn_rich_deeper_3seed_20260526,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/vn_rich_deeper_3seed_20260526,True,True,5.341,5.341,archive_or_delete,deeper probe not main,False,False,0.0,0.0
