feature,missing_rate,std,overall_spearman,daily_ic_mean,daily_ic_std,daily_ic_tstat,daily_ic_positive_rate,daily_ic_n,semantic_priority,abs_daily_ic_mean,abs_overall_spearman,quality_score
close_position,0.03852099043656641,0.36826452191796827,-0.05038698052343172,-0.08180675903424457,0.15908299332943046,-23.014731252491956,0.2985521717423864,2003,0.96,0.08180675903424457,0.05038698052343172,0.23243007878318953
lower_shadow,0.0,0.010843218542613582,-0.06020431797573933,-0.07622142110107126,0.14438348411099755,-23.62653308773389,0.28407388916625065,2003,0.5,0.07622142110107126,0.06020431797573933,0.22264716017788186
selling_pressure,0.03852099043656641,0.20630407983893664,0.04697430746029962,0.07065584631786775,0.1659276604750033,19.057669345386717,0.6630054917623565,2003,0.5,0.07065584631786775,0.04697430746029962,0.19751558028730382
volume_ratio_20,0.01594146369651267,0.9343391371554232,0.04874382156171712,0.04858006317286849,0.14474266094206698,14.949695837701281,0.6234879032258065,1984,0.94,0.04858006317286849,0.04874382156171712,0.16438511863352384
upper_shadow,0.0,0.009537315947671278,0.04196888572571768,0.04849794901485742,0.16016534613535804,13.551747171410835,0.618572141787319,2003,0.5,0.04849794901485742,0.04196888572571768,0.14896478375543254
effort_result_ratio,0.03852099043656641,0.004574920667173094,0.04063856819673054,0.04023172191236851,0.14494294716494,12.422585876044835,0.6090863704443334,2003,0.5,0.04023172191236851,0.04063856819673054,0.13033159221273624
momentum_5,0.00311317211291208,0.05077203318891549,-0.016611072629632732,-0.04010802508373379,0.1914905223101135,-9.36228238324183,0.4109109109109109,1998,0.9,0.04010802508373379,0.016611072629632732,0.11476485935484208
buying_pressure,0.03852099043656641,0.23010565185993206,-0.012840992454455595,-0.037295726128443035,0.15511227684509757,-10.761018274967512,0.39940089865202194,2003,0.5,0.037295726128443035,0.012840992454455595,0.09666202490261033
intraday_return,0.0,0.02167769110291393,-0.004124015436979785,-0.032242526299116184,0.17035385051346996,-8.470666492382025,0.44483275087368945,2003,1.0,0.032242526299116184,0.004124015436979785,0.08860906803521215
macd_hist,0.0,175.1987053953723,-0.006910028668711483,-0.022109089392810352,0.1678554404509792,-5.8934210540765335,0.4500499500499501,2002,0.88,0.022109089392810352,0.006910028668711483,0.06872820745433218
rolling_max_20_gap,0.012185432376989973,0.055153987038090664,-0.0013306652043206116,-0.02178128984009731,0.19522095629471828,-4.969675045135365,0.45463709677419356,1984,0.78,0.02178128984009731,0.0013306652043206116,0.06024953623697543
vnindex_return,0.0,0.010176258894657675,0.0380781430812989,,,,,0,0.74,,0.0380781430812989,0.0528781430812989
a_d_ratio,0.0,1.8844115109528754,0.035963499164987006,,,,,0,0.72,,0.035963499164987006,0.050363499164987
gap_open,0.0006717517552223282,0.01507017688155089,0.00450868828698756,0.012063603247928757,0.14534391777752154,3.7137461927413606,0.541958041958042,2002,0.98,0.012063603247928757,0.00450868828698756,0.04822245974774062
ma_200_gap,0.1308687989367542,0.20221283073731658,0.01570245528347577,0.009205375596247308,0.1743991609897727,2.2418956202734077,0.5238359201773836,1804,0.8,0.009205375596247308,0.01570245528347577,0.047495830497235304
rsi_14,0.01743665308716882,17.594210649995027,0.003603996943521956,-0.012018237386101631,0.1734967182687517,-3.0893485188571304,0.4806435394670689,1989,0.86,0.012018237386101631,0.003603996943521956,0.044491738653981844
market_leader_return,0.0,0.013662735267958132,0.02891301600435346,,,,,0,0.76,,0.02891301600435346,0.04411301600435346
sector_momentum_rank,0.008472739880384848,4.01850780078344,-0.010519065573129075,-0.00938406976243713,0.16173273783836506,-2.5831231665893073,0.47527749747729564,1982,0.7,0.00938406976243713,0.010519065573129075,0.043117750300395635
momentum_20,0.012849960995059374,0.1075427823195142,0.009893976050775688,-0.006724620538004367,0.19405663516656751,-1.5431233506405713,0.5007564296520424,1983,0.92,0.006724620538004367,0.009893976050775688,0.041486217906883234
obv_change,0.0014807431163502932,650.8567118063852,0.012275403372975034,-0.00402480438995489,0.15348817226887643,-1.1729875640438043,0.49325337331334335,2001,0.82,0.00402480438995489,0.012275403372975034,0.036695397290557805
wyckoff_phase_60d,0.013637282944728555,0.29234925077578555,0.011659229895554237,-0.0057146304795546434,0.17205701200462592,-1.4794033935659014,0.4889112903225806,1984,0.5,0.0057146304795546434,0.011659229895554237,0.03281574519576896
bb_width,0.012185432376989973,0.09728037033615938,0.0010171027352502311,-0.0035719097333602365,0.19830598628738347,-0.8022975843735923,0.49294354838709675,1984,0.95,0.0035719097333602365,0.0010171027352502311,0.026917213554430906
day_of_week,0.0,1.4114209940929894,-0.021611702905783424,,,,,0,0.2,,0.021611702905783424,0.025611702905783424
volatility_20,0.012849960995059374,0.009140837329326695,0.001122253245654634,-0.001294777205076977,0.18528638526973587,-0.3111808718316476,0.5047907211296017,1983,0.93,0.001294777205076977,0.001122253245654634,0.022054808435907403
vwap_gap,0.01503134841524371,0.0,,,,,,0,0.84,,,0.016499373031695123
is_top_2_sector,0.0,0.2946851604104968,,,,,,0,0.68,,,0.013600000000000001
