code,feature_sector,top_error_appearances,mean_abs_error,median_abs_error,max_abs_error,mean_actual_return,mean_predicted_return,sign_mismatch_share,mean_feature_momentum_20,mean_feature_volatility_20,mean_feature_volume_ratio_20
CMG,Công nghệ Thông tin,10,0.05678759912261734,0.06487068091519174,0.0709616828244178,0.016588803380727744,0.00113508072681726,0.6,0.5377327356967426,0.031100900190638305,1.4355472146290102
DIG,Bất động sản,8,0.046643338469948496,0.043005265993997496,0.06677911638689689,0.007779954001307486,0.001286309778151886,0.25,0.13948333582572858,0.0260524278433047,1.1300357819236793
STB,Ngân hàng,8,0.045487588606192675,0.048510151449590797,0.0526430268073454,0.01983923697844145,0.00011644230107774999,0.625,0.08904688205680808,0.019731965802857625,1.2562587020144154
PVD,Dầu khí,8,0.04180714140238701,0.03885542880743735,0.06687674217391759,0.017470666673034412,0.00234298499708525,0.5,0.20323929743580849,0.024933708219817975,1.2214697082321022
VIX,Dịch vụ tài chính,7,0.06182010787805277,0.0548587543889881,0.10066646756604311,0.017826566206557398,0.003459377314097057,0.2857142857142857,0.4519552813549677,0.029171988866985958,1.86324164667152
SAB,Thực phẩm và đồ uống,6,0.05291881571368618,0.05468852008925745,0.0717529056128114,0.011275012046098681,0.0008069709486638665,0.8333333333333334,0.054800122672046335,0.022817850485149668,1.7399782633786085
PLX,Dầu khí,6,0.04931339496882475,0.047693364671431454,0.0670756465988233,-0.0011487112691004827,0.0007073751621646668,0.5,-0.00816004891344605,0.021094025629651934,1.5144746160613753
HCM,Dịch vụ tài chính,6,0.04152158119541124,0.0409094708011252,0.0545945494668558,0.029503459421296868,0.0006820378524328667,0.3333333333333333,0.12352434644470271,0.022138968760001584,0.9648164451848288
SHB,Ngân hàng,5,0.05712858337210486,0.0544663607142865,0.0687068168772383,0.014828348159790039,0.00075952516635878,0.6,0.12592972482617942,0.024075057916293902,1.3123311399026405
VNM,Thực phẩm và đồ uống,5,0.053401818206475535,0.048815717454999595,0.0692412659554975,0.03505307137966152,0.0011775401551858162,0.2,0.14583582343861107,0.01748332672249048,1.4249565990054704
HAG,Thực phẩm và đồ uống,5,0.05262615962710694,0.0616818226408213,0.06647324771620339,0.0008412972092628562,-0.0007030185573966799,0.4,-0.07139664782115353,0.021639426678217923,1.7624222947720043
