seed,candidate,split,n_obs,n_days,rel_score,q90_abs_error,daily_q90_abs_error_q90,daily_q90_abs_error_max,spike_days_ge_7pct,spike_days_ge_8pct,prediction_actual_abs_q90_ratio,directional_accuracy
43,base,train,129720,1970,0.0248573590336798,0.03612909581,0.048814494564,0.0812761218,18,2,0.1525193054399428,0.4760561208757323
43,weighted,train,129720,1970,0.0218095342112362,0.03601314077,0.04765289694484,0.0828514839,16,2,0.1733936820425645,0.4766034535923527
43,instance,train,129720,1970,0.0192706400454797,0.0364317562,0.049415116074,0.07519305476,15,0,0.1242083734171558,0.4656799259944496
43,tail_loss,train,129720,1970,0.0313339444736844,0.03563881489,0.047293030326,0.0877925231,13,1,0.1779090929954583,0.4821384520505704
43,tailstress,train,129720,1970,0.0255133998072208,0.035853732065,0.048306502918,0.0826744745,11,1,0.1806158063146094,0.4799799568300956
43,tailstress_past,train,129720,1970,0.0054553229223318,0.036720311214,0.048140465707,0.0757036156,15,0,0.1075213423236296,0.4529525131051495
43,simplex_rel,train,129720,1970,0.0324155086860363,0.035603401274,0.0475385867765056,0.08565949924,10,1,0.1719227563161889,0.4837264878199198
43,simplex_tail,train,129720,1970,0.0313339444736844,0.03563881489,0.047293030326,0.0877925231,13,1,0.1779090929954583,0.4821384520505704
43,gate_disagreement,train,129720,1970,0.0292474084409767,0.035711759284,0.047319201174,0.0826744745,14,1,0.1826419750319748,0.4816142460684551
43,conservative_disagreement,train,129720,1970,0.0295738490155883,0.03571072063,0.047406168131,0.0877925231,13,1,0.1741470185061035,0.4811285846438483
43,gate_tailstress_abs,train,129720,1970,0.0315318202147277,0.03559301079,0.047274052039,0.0826744745,13,1,0.1844719516742325,0.4826472402096824
43,conservative_tailstress_abs,train,129720,1970,0.0287195129387719,0.03576440184,0.047553282138,0.0877925231,12,1,0.1693785722752158,0.4805118717237126
43,gate_mean_positive_gap,train,129720,1970,0.0300939662294138,0.03568293367,0.0472630840849999,0.0877925231,15,1,0.1799971830849015,0.4815063213074314
43,conservative_mean_positive_gap,train,129720,1970,0.0276951700698795,0.03580528101,0.048306502918,0.0826744745,9,1,0.1782820562805219,0.4815602836879432
43,base,val,60468,659,0.0171890771933351,0.04917587808,0.064970156212,0.09361318569,39,14,0.1420580994341595,0.5046966990805054
43,weighted,val,60468,659,0.0296840952958795,0.0483080594,0.0645999102,0.105079948,40,10,0.1495315274379833,0.5092114837600052
43,instance,val,60468,659,0.0044769788164088,0.05010445294,0.0657095852396,0.08183383,36,2,0.1164931553272778,0.4955844413574122
43,tail_loss,val,60468,659,0.0257965294582962,0.0483593494,0.064052576408,0.100071732,37,11,0.1682988339370787,0.5076073294965933
43,tailstress,val,60468,659,0.0265182343897653,0.04830481465,0.0626451591239999,0.1054941074999999,34,14,0.1789676711041143,0.5104021962029504
43,tailstress_past,val,60468,659,0.0069160765954777,0.049503181,0.064800337168,0.0836141014,35,6,0.1049240297093898,0.4911688827148244
43,simplex_rel,val,60468,659,0.0281805056943501,0.048261595828,0.0637790905328,0.1013127178,35,10,0.1575706988790126,0.5111298538069723
43,simplex_tail,val,60468,659,0.0257965294582962,0.0483593494,0.064052576408,0.100071732,37,11,0.1682988339370787,0.5076073294965933
43,gate_disagreement,val,60468,659,0.0258196593470581,0.0482720777,0.06345012678,0.1054941074999999,33,15,0.1811914913564432,0.5078884699345109
43,conservative_disagreement,val,60468,659,0.025689489082461,0.04839375436,0.0643862057207999,0.100071732,37,11,0.167401754475851,0.5083019117549779
43,gate_tailstress_abs,val,60468,659,0.0283055358834317,0.04817349935,0.06369970206,0.1054941074999999,32,15,0.1886652811581168,0.508450750810346
43,conservative_tailstress_abs,val,60468,659,0.0252685745904973,0.04846991773,0.06383803924,0.100071732,39,11,0.1577351799869931,0.5062512403254614
43,gate_mean_positive_gap,val,60468,659,0.0293684515807474,0.0480630516,0.06357599388,0.1054941074999999,40,13,0.1826509822898239,0.5107494873321426
43,conservative_mean_positive_gap,val,60468,659,0.0233863139918871,0.04859661606,0.063784262628,0.100071732,32,10,0.1630884560638355,0.5057881854865384
52,base,train,129720,1970,0.0203524934297872,0.03628932192,0.0483846543363,0.0818957954,17,2,0.1460606801798311,0.4728106691335183
52,weighted,train,129720,1970,0.0237364069129795,0.036051900546,0.048378342498,0.089586139,18,7,0.1602153272797424,0.4749074930619796
52,instance,train,129720,1970,0.0101337040711154,0.03662837993,0.04922165761055,0.0788666332,11,0,0.1075131829088611,0.4576626580326858
52,tail_loss,train,129720,1970,0.0272170145568323,0.0357286773343,0.0481564010629999,0.0839288217,16,3,0.1953300647974173,0.4770582793709528
52,tailstress,train,129720,1970,0.032388551882055,0.0355465312,0.047745402524,0.091110044,12,1,0.2067658990462773,0.484736355226642
52,tailstress_past,train,129720,1970,0.0230192047911808,0.03596448311,0.0483474893397,0.0809940993,11,1,0.1476092293727051,0.4706753006475486
52,simplex_rel,train,129720,1970,0.0355922108267263,0.03558013869,0.0475502473230199,0.08432294765,10,1,0.1725376771101956,0.4877042861547949
52,simplex_tail,train,129720,1970,0.0351732785541752,0.03551582470185,0.0474724479033,0.0871350211,12,1,0.1855685407040586,0.4872648781991983
52,gate_disagreement,train,129720,1970,0.0326061376462865,0.03543978637,0.047918333724,0.091110044,13,1,0.2007297135807816,0.4794788775824853
52,conservative_disagreement,train,129720,1970,0.0271383231112448,0.0358408067356,0.047789184377,0.0839288217,16,3,0.200709548594283,0.482477644156645
52,gate_tailstress_abs,train,129720,1970,0.0331115051432617,0.0354148804,0.04766175905,0.091110044,11,1,0.2125976153016837,0.4811517113783534
52,conservative_tailstress_abs,train,129720,1970,0.0267662356876559,0.035866880143,0.0481921806306,0.0839288217,17,3,0.191186518227598,0.4814600678384212
52,gate_mean_positive_gap,train,129720,1970,0.0288264669521154,0.03563257717,0.04755630213,0.091110044,15,1,0.2013767962120011,0.4788621646623496
52,conservative_mean_positive_gap,train,129720,1970,0.0306385748942743,0.035661966483,0.048137934296,0.0839288217,11,2,0.2036952439683916,0.4843509096515572
52,base,val,60468,659,0.0153899494081077,0.04934147872,0.065853098164,0.0962369875,38,9,0.1360618888654134,0.4963120989614341
52,weighted,val,60468,659,0.0270546499413654,0.048347814765,0.063896091468,0.1218774715,41,17,0.1487333858499737,0.5040517298405768
52,instance,val,60468,659,0.0061275295357439,0.04989407954,0.0667011482772,0.0854276726,37,1,0.0949168650566359,0.4925415095587749
52,tail_loss,val,60468,659,0.0275129964204947,0.047887477022,0.0631352878968,0.1051579154,25,9,0.1919097456893444,0.5043990209697692
52,tailstress,val,60468,659,0.0346287328425032,0.04783264295,0.06273747156,0.1265281635,33,16,0.1959599103371341,0.5054078190117087
52,tailstress_past,val,60468,659,0.0227116993117223,0.0484621907,0.064757372712,0.114690822,24,8,0.14107547977078,0.4975193490771978
52,simplex_rel,val,60468,659,0.0319783678932542,0.048067649838,0.062892391489,0.11152410715,33,10,0.1578797632088228,0.5096083879076536
52,simplex_tail,val,60468,659,0.0356887596054362,0.047817885878,0.0630039950608,0.11770258315,30,13,0.1717730526075916,0.5087484289210822
52,gate_disagreement,val,60468,659,0.0317120845414456,0.04769546759,0.062808351948,0.1265281635,34,16,0.1999577626397866,0.4999338493087252
52,conservative_disagreement,val,60468,659,0.0293606528216952,0.04800702936,0.062803755968,0.1051579154,24,9,0.1874799163116374,0.5098729906727525
52,gate_tailstress_abs,val,60468,659,0.0317479626537958,0.047655358416,0.062823757856,0.1265281635,34,16,0.2084157451389697,0.5022656611761593
52,conservative_tailstress_abs,val,60468,659,0.0313175700945841,0.04804393046,0.062775489232,0.1051579154,24,9,0.175238716043268,0.5076238671694119
52,gate_mean_positive_gap,val,60468,659,0.0275142382441241,0.04803710544,0.062836618684,0.1265281635,36,14,0.2016478942267,0.5065158430905603
52,conservative_mean_positive_gap,val,60468,659,0.0358953900521163,0.04767165703,0.062585882952,0.0995701295,21,11,0.1847047356497129,0.5089303433220878
